Idiom,normal,idiomatic,literal_segments,idiom_segments,literal_positions,idiom_positions,num_differences
penny for your thoughts,"`` You have been quiet for a while , what do you think ? . ''","`` You have been quiet for a while , a penny for your thoughts . ''",what do you think ?,penny | your thoughts,"[(9, 14)]","[(10, 11), (12, 14)]",2
play it by ear,"Rather than adopting a new academic strategy , the principal decided to improvise .","Rather than adopting a new academic strategy , the principal decided to play it by ear .",improvise,play it by ear,"[(12, 13)]","[(12, 16)]",1
too close to call,"The election has been not possible to predict , but we trust that our candidate will win .","The election has been too close to call , but we trust that our candidate will win .",not possible | predict,too close | call,"[(4, 6), (7, 8)]","[(4, 6), (7, 8)]",2
bump into,Please move that massive chair from the centre of the room and Someone is going to knock into it suddenly . ',Please move that massive chair from the centre of the room and Someone is going to bump into . ',knock | it suddenly,bump,"[(16, 17), (18, 20)]","[(16, 17)]",2
mum's the word,"We are throwing a party for our friend Jeremy , but its a surprise , so do n't tell him anything about it and keep quiet .","We are throwing a party for our friend Jeremy , but its a surprise , so do n't tell him anything about it and Mum 's the word .",keep quiet,Mum 's the word,"[(24, 26)]","[(24, 28)]",1
at the drop of a hat,We now have a situation where laws are bent for no reason .,We now have a situation where laws are bent at the drop of a hat .,for no reason,at the drop of | hat,"[(9, 12)]","[(9, 13), (14, 15)]",2
walk on eggshell,"Whenever Lisa is around the house , everyone has to be careful around her in order not to get her annoyed .","Whenever Lisa is around the house , everyone has to walk on eggshells around her in order not to get her annoyed .",be careful,walk on eggshells,"[(10, 12)]","[(10, 13)]",1
choke up,He gets overemotional every time someone brings up the topic of their sudden movement to a new country .,He chokes up every time someone brings up the topic of their sudden movement to a new country .,gets overemotional,chokes,"[(1, 3)]","[(1, 2)]",1
run amok (amuck),"With the teacher absent , the children were acting wildly in their class , upsetting the furniture and creating a mess .","With the teacher absent , the children were running amok in their class , upsetting the furniture and creating a mess .",acting wildly,running amok,"[(8, 10)]","[(8, 10)]",1
get out of bed on the wrong side,You seem to be in a very bad temper today and Did you have a bad day from the start ?,You seem to be in a very bad temper today and Did you get out on the wrong side of the bed ?,have | day from | start,get out on | wrong side of | bed,"[(13, 14), (16, 18), (19, 20)]","[(13, 16), (17, 20), (21, 22)]",3
bug,I have asked your brother to not bother you until you have finished studying for the exam .,I have asked your brother to not bug you until you have finished studying for the exam .,bother,bug,"[(7, 8)]","[(7, 8)]",1
doozy,"It 's a unique painting , she is so creative .","It 's a doozy of a painting , she is so creative .",unique,doozy of,"[(3, 4)]","[(3, 5)]",1
suited and booted,The party got well dressed to go out tonight but then the weather caught on and everything had to be cancelled .,The party was all suited and booted to go out tonight but then the weather caught on and everything had to be cancelled .,got well dressed,was all suited | booted,"[(2, 5)]","[(2, 5), (6, 7)]",2
as bald as a coot,She is in remission now but the Chemo Therapy has left her totally bald .,She is in remission now but the Chemo Therapy has left her as bald as a coot .,totally,as | as a coot,"[(12, 13)]","[(12, 13), (14, 17)]",2
to a T,The announcement of chief guest 's arrival at the school annual function was timed in an exact manner .,The announcement of chief guest 's arrival at the school annual function was timed to a T .,in an exact manner,to a T,"[(14, 18)]","[(14, 17)]",1
bug-eyed,I was stunned looking at her wedding dress and jewelry .,I was bug eyed looking at her wedding dress and jewelry .,stunned,bug eyed,"[(2, 3)]","[(2, 4)]",1
young blood,The Peace corps is in need of a new member like Adam .,The Peace corps is in need of a young blood like Adam .,new member,young blood,"[(8, 10)]","[(8, 10)]",1
to see the back of,"After my boss made my life difficult for ten years , he finally left the company and I was glad to see him leaving after such an unpleasant time .","After my boss made my life difficult for ten years , he finally left the company and I was glad to see the back of him .",leaving after such an unpleasant time,back of,"[(23, 29)]","[(23, 25)]",1
child's play,"If you practise enough , driving will eventually become a trivial matter .","If you practise enough , driving will eventually become child 's play .",a trivial matter,child 's play,"[(9, 12)]","[(9, 12)]",1
all ears,Kids in my class were eager to listen when I was telling them the story .,Kids in my class were all ears when I was telling them the story .,eager to listen,all ears,"[(5, 8)]","[(5, 7)]",1
cut the mustard,"My neighbor had applied for the post of architect in a big project , but did not make the cut .","My neighbor had applied for the post of architect in a big project , but did not cut the mustard .",make,mustard,"[(17, 18)]","[(19, 20)]",1
hit the nail on the head,Stephen was right when he said that what the company was lacking in was clear vision and focus .,Stephen hit the nail on the head when he said that what the company was lacking in was clear vision and focus .,right,hit | nail on | head,"[(2, 3)]","[(1, 2), (3, 5), (6, 7)]",3
filthy rich,His father is extremely rich so obviously he is not worried about choosing the right university .,His father is filthy rich so obviously he is not worried about choosing the right university .,extremely,filthy,"[(3, 4)]","[(3, 4)]",1
quality time,It had been so long since we went on a vacation but this last month we decided to spend precious time with the family regardless .,It had been so long since we went on a vacation but this last month we decided to spend quality time with the family regardless .,precious,quality,"[(19, 20)]","[(19, 20)]",1
a needle in a haystack,"You must be kidding when you say that you would like to find evidence in this case , it is like trying to find an insignificant item to be searched in a huge pile .","You must be kidding when you say that you would like to find evidence in this case , it is like trying to find a needle in a haystack .",an insignificant item | searched | huge pile,needle | haystack,"[(24, 27), (29, 30), (32, 34)]","[(25, 26), (28, 29)]",3
spine-tingling,The movie has the most horrific end that you would never be able to guess .,The movie has the most spine-tingling end that you would never be able to guess .,horrific,spine-tingling,"[(5, 6)]","[(5, 6)]",1
run out,"If someone is looking for me , please tell them that I have just left for a second .","If someone is looking for me , please tell them that I have just run out for a second .",left,run out,"[(14, 15)]","[(14, 16)]",1
troubled waters,"The situation was getting worse , but like all the other members of the company , he was fascinated by the troubling conditions .","The situation was getting worse , but like all the other members of the company , he was fascinated by troubled waters .",troubling conditions,troubled waters,"[(21, 23)]","[(20, 22)]",1
mull over,I will need to think about things carefully before I decide whether or not to start my own business,I will need to mull things over before I decide whether or not to start my own business,think about | carefully,mull | over,"[(4, 6), (7, 8)]","[(4, 5), (6, 7)]",2
castles in the air,"She keeps talking about her big-time ambitions , but it 's all so far-fetched .","She keeps talking about her big-time ambitions , but it 's all castles in the air .",so far-fetched,castles in the air,"[(12, 14)]","[(12, 16)]",1
on the brink of,The dam was on the verge of pouring over when the officials decided to open the gates and let the water out .,The dam was on the brink of pouring over when the officials decided to open the gates and let the water out .,verge,brink,"[(5, 6)]","[(5, 6)]",1
cut and dried,The rules in our school are predetermined .,The rules in our school are cut and dried .,predetermined,cut and dried,"[(6, 7)]","[(6, 9)]",1
wear heart on sleeve,It was evident that he was in love with her and He was emotionally transparent and you could see how he felt about her .,It was evident that he was in love with her and He wore his heart on his sleeve and you could see how he felt about her .,emotionally transparent,wore his heart on his sleeve,"[(13, 15)]","[(12, 18)]",1
come clean,The guy confessed after the police had started their investigation about the robbery .,The guy came clean after the police had started their investigation about the robbery .,confessed,came clean,"[(2, 3)]","[(2, 4)]",1
cut to the chase,"After the customary greetings and handshakes , we began negotiating with our clients .","After the customary greetings and handshakes , we cut to the chase and began negotiating with our clients .",,cut to | chase,[],"[(8, 10), (11, 12)]",2
you've made your bed,"Once you 've made your choice , you will have to deal with its ramifications .","Once you 've made your bed , you 'll have to lie in it .",choice | will | deal with its ramifications,bed | 'll | lie in it,"[(5, 6), (8, 9), (11, 15)]","[(5, 6), (8, 9), (11, 14)]",3
zero tolerance,There is no tolerance towards any gender bias in this company .,There is zero tolerance towards any gender bias in this company .,no,zero,"[(2, 3)]","[(2, 3)]",1
rags to riches,He went from poverty to rich after his roadside performances were noticed by a famous movie maker and he was offered roles in his movies .,He went from rags to riches after his roadside performances were noticed by a famous movie maker and he was offered roles in his movies .,poverty | rich,rags | riches,"[(3, 4), (5, 6)]","[(3, 4), (5, 6)]",2
bucket list,"Go and buy some sweaters , I have many other things left on my wish list .","Go and buy some sweaters , I have many other things left on my bucket list .",wish,bucket,"[(14, 15)]","[(14, 15)]",1
lost on,"She seems like a very smart lady , but my sense of humour seems to not influence her .","She seems like a very smart lady , but my sense of humour seems to be lost on her .",not influence,be lost on,"[(15, 17)]","[(15, 18)]",1
knee jerk reaction,It was a typical unthinking reaction and He said no immediately without considering our proposal .,It was a typical knee jerk reaction and He said no immediately without considering our proposal .,unthinking,knee jerk,"[(4, 5)]","[(4, 6)]",1
surgical strike,The precision strikes that the Indian army carried out in the year 2016 were an example of the strength that they hold .,The surgical strikes that the Indian army carried out in the year 2016 were an example of the strength that they hold .,precision,surgical,"[(1, 2)]","[(1, 2)]",1
keep at arm's length,I like to keep distance from my office colleagues .,I like to keep my office colleagues at arm 's length .,distance from,at arm 's length,"[(4, 6)]","[(7, 11)]",1
fingers crossed,"Good luck with your test tomorrow , I hope it goes well .","Good luck with your test tomorrow , I 'll have my fingers crossed .",hope it goes well,'ll have my fingers crossed,"[(8, 12)]","[(8, 13)]",1
on the horizon,I have seen the way your boss praises your work and I am sure that a promotion is on the way .,I have seen the way your boss praises your work and I am sure that a promotion is on the horizon .,,horizon,[],"[(20, 21)]",1
draw a blank,You have to be confident in your answers and for heaven 's sake do not have nothing to say at that time .,You have to be confident in your answers and for heaven 's sake do not draw a blank at that time .,nothing | say,draw a blank,"[(16, 17), (18, 19)]","[(15, 18)]",2
get act together,The official was asked to become more organized and efficient if he wanted to keep his post .,The official was asked to get his act together if he wanted to keep his post .,become more organized and efficient,get | act together,"[(5, 10)]","[(5, 6), (7, 9)]",2
in the black,The employees were profitable until the management wrapped up the entire business .,The employees were in the black until the management wrapped up the entire business .,profitable,in | black,"[(3, 4)]","[(3, 4), (5, 6)]",2
run a tight ship,"Martha is very controlling at home and With 4 kids to take care of at home , she can not have it any other way .","Martha runs a tight ship at home and With 4 kids to take care of at home , she can not have it any other way .",is very controlling,runs a tight ship,"[(1, 4)]","[(1, 5)]",1
beef up,Google has made it 's search algorithm much more robust to provide the best quality search result to its users .,Google has beefed up it 's search algorithm to provide the best quality search result to its users .,made | much more robust,beefed up,"[(2, 3), (7, 10)]","[(2, 4)]",2
in the bag,The deal was finally secured after a few rounds of tough negotiations .,The deal was finally in the bag after a few rounds of tough negotiations .,secured,in the bag,"[(4, 5)]","[(4, 7)]",1
break a leg,`` Good luck ! '' shouted the stage director to his actors before the beginning of the play .,`` Break a leg ! '' shouted the stage director to his actors before the beginning of the play .,Good luck,Break a leg,"[(1, 3)]","[(1, 4)]",1
buck up,People should learn to summon courage after encountering any major issues as this is the only way they can succeed .,People should learn to buck up after encountering any major issues as this is the only way they can succeed .,summon courage,buck up,"[(4, 6)]","[(4, 6)]",1
the squeaky wheel gets the grease,My younger brother got far more stuff from my parents when we were kids because he used to make more noise than me .,My younger brother got far more stuff from my parents when we were kids because the squeaky wheel gets the grease .,he used to make | noise than me,the squeaky wheel gets the grease,"[(15, 19), (20, 23)]","[(15, 21)]",2
bits and pieces,"After the accident , there were small pieces of the wreckage spread all over the road .","After the accident , there were bits and pieces of the wreckage spread all over the road .",small,bits and,"[(6, 7)]","[(6, 8)]",1
race against time,The completion of this project was honestly a time crunch .,The completion of this project was honestly a race against time .,crunch,race against,"[(9, 10)]","[(8, 10)]",1
pull leg,Everytime we go out as friends John starts pulling my leg about how we could be more .,Everytime we go out as friends John starts pulling my leg about how we could be more .,,,[],[],0
blow-by-blow account,The toddler gave a sequential account of the activity to his mother and It was very endearing to listen to it .,The toddler gave a blow-by-blow account of the activity to his mother and It was very endearing to listen to it .,sequential,blow-by-blow,"[(4, 5)]","[(4, 5)]",1
not the sharpest tool in the shed,He 's not the smartest person .,He 's not the sharpest tool in the shed .,smartest person,sharpest tool in | shed,"[(4, 6)]","[(4, 7), (8, 9)]",2
straight from the horse's mouth,I know since I heard it straight from the source .,I know since I heard it straight from the horse 's mouth .,source,horse 's mouth,"[(9, 10)]","[(9, 12)]",1
everything but the kitchen sink,"When he moved out of the house , he took along almost everything that one can think of .","When he moved out of the house , he took along everything but the kitchen sink .",almost | that one can think,but | kitchen sink,"[(11, 12), (13, 17)]","[(12, 13), (14, 16)]",2
smitten with,He is completely in love with her .,He is completely smitten with love for her .,in,smitten | for,"[(3, 4)]","[(3, 4), (6, 7)]",2
be in the same boat,"The speaker said that everyone should make an effort towards protection of the environment , as everyone was facing the same challenge and climate changes would have dire consequences for all .","The speaker said that everyone should make an effort towards protection of the environment , as everyone was in the same boat and climate changes would have dire consequences for all .",facing | challenge,in | boat,"[(18, 19), (21, 22)]","[(18, 19), (21, 22)]",2
not at all,Would it bother you if I open the window to let in some fresh air ? No it would not .,Would it bother you if I open the window to let in some fresh air ? Not at all .,No | would not,Not at all,"[(16, 17), (18, 20)]","[(16, 19)]",2
at odds,Her beaming smile was at opposites with the rumours that I had heard about her quick temper and,Her beaming smile was at odds with the rumours that I had heard about her quick temper and,opposites,odds,"[(5, 6)]","[(5, 6)]",1
crocodile tears,"She deceived him when he lost everything in his life , now again when he is rich man , she approached him to get together and shedding fake tears .","She deceived him when he lost everything in his life , now again when he is rich man , she approached him to get together and shedding crocodile tears .",fake,crocodile,"[(27, 28)]","[(27, 28)]",1
burn the candle at both the ends,Since starting my new job I have been working very hard .,Since starting my new job I have been burning the candle at both ends .,working very hard,burning the candle at both ends,"[(8, 11)]","[(8, 14)]",1
skating on thin ice,Sebastian using all his savings to buy blue chip stocks is definitely risky .,Sebastian using all his savings to buy blue chip stocks is definitely skating on thin ice .,risky,skating on thin ice,"[(12, 13)]","[(12, 16)]",1
up to the mark,"UnfortunatelyÂ thisÂ submissionÂ isÂ justÂ notÂ of Â the required quality , Â soÂ we'llÂ haveÂ toÂ removeÂ itÂ fromÂ consideration","UnfortunatelyÂ thisÂ submissionÂ isÂ justÂ notÂ upÂ toÂ theÂ mark , Â soÂ we'llÂ haveÂ toÂ removeÂ itÂ fromÂ consideration",of | the required quality,upÂ | theÂ mark,"[(6, 7), (8, 11)]","[(6, 7), (8, 10)]",2
strike the chord,The two immediately had a mutual interest the fact that they follow the same faith .,The two immediately struck the chord basis the fact that they follow the same faith .,had a mutual interest,struck | chord basis,"[(3, 7)]","[(3, 4), (5, 7)]",2
out of the blue,"Out of nowhere , a deer came in front of my car .","Out of the blue , a deer came in front of my car .",nowhere,the blue,"[(2, 3)]","[(2, 4)]",1
wash hands of,That job did no good to me and I abandoned it few months back and joined another one .,That job did no good to me and I washed my hands of it few months back and joined another one .,abandoned,washed my hands of,"[(9, 10)]","[(9, 13)]",1
uncle Tom Cobley and all,"Businessman , entrepreneurs , everyone else who had been invited to the Real Estate Awards function in the city last month .","Businessman , entrepreneurs , Uncle Tom Cobley and all had been invited to the Real Estate Awards function in the city last month .",everyone else who,Uncle Tom Cobley and all,"[(4, 7)]","[(4, 9)]",1
cry me a river,"`` My baby wouldn 't sleep last night , I am so tired . '' `` Go ahead and complain , Joan and I have n't had a good night 's sleep in years . ''","`` My baby wouldn 't sleep last night , I am so tired . '' `` Cry me a river , Joan and I have n't had a good night 's sleep in years . ''",Go ahead | complain,Cry me | river,"[(16, 18), (19, 20)]","[(16, 18), (19, 20)]",2
shifting sands,My husband has had trouble maintaining a job in the ever changing the economy .,My husband has had trouble maintaining a job in the shifting sands of the economy .,ever changing,shifting sands of,"[(10, 12)]","[(10, 13)]",1
tip of the iceberg,The manager-employee problems in this company are just a small part of the problem .,The manager-employee problems in this company are just the tip of the iceberg .,a small part | problem,tip | iceberg,"[(8, 11), (13, 14)]","[(9, 10), (12, 13)]",2
dead in the water,My idea to go on a field trip is unlikely to occur .,My idea to go on a field trip is dead in the water .,unlikely | occur,dead in the water,"[(9, 10), (11, 12)]","[(9, 13)]",2
ward off,Our government has doubled the number of soldiers at the border to hold off illegal immigrants .,Our government has doubled the number of soldiers at the border to ward off illegal immigrants .,hold,ward,"[(12, 13)]","[(12, 13)]",1
for a while,"I will be able to sit with you for some time , but I need to get home soon","I will be able to sit with you for a while , but I need to get home soon",some time,a while,"[(9, 11)]","[(9, 11)]",1
belly up,The new restaurant in town went failed just after a month of its inauguration .,The new restaurant in town went belly up just after a month of its inauguration .,failed,belly up,"[(6, 7)]","[(6, 8)]",1
through thick and thin,My best friend has supported me through tough times .,My best friend has supported me through thick and thin .,tough times,thick and thin,"[(7, 9)]","[(7, 10)]",1
cut down,I am trying to lower my sugar intake this month .,I am trying to cut down on sugar this month .,lower my | intake,cut down on,"[(4, 6), (7, 8)]","[(4, 7)]",2
lose head,He is usually very calm and controls his emotions in stressful situations .,He is usually very calm and does not lose his head in stressful situations .,controls | emotions,does not lose | head,"[(6, 7), (8, 9)]","[(6, 9), (10, 11)]",2
bankers' hours,"With our boss on leave , most of us worked short hours for the whole week .","With our boss on leave , most of us worked banker 's hours for the whole week .",short,banker 's,"[(10, 11)]","[(10, 12)]",1
once in a blue moon,The earthquake hits once in a while in this part of the earth .,The earthquake hits once in a blue moon in this part of the earth .,while,blue moon,"[(6, 7)]","[(6, 8)]",1
qui vive,Their duty requires most of the soldiers to be on lookout at the Siachen of Kashmir India battlefield .,Their duty requires most of the soldiers to be on the qui vive at the Siachen of Kashmir India battlefield .,lookout,qui vive,"[(10, 11)]","[(11, 13)]",1
rain check,The couple assured the school that they would do their duties later because it is their anniversary and they wanted to spend the day together .,The couple took a rain check today from the school duties because it is their anniversary and they wanted to spend the day together .,assured | that | would do | later,took a rain check today from,"[(2, 3), (5, 6), (7, 9), (11, 12)]","[(2, 8)]",4
on cue,The race started right on time .,The race started right on cue .,time,cue,"[(5, 6)]","[(5, 6)]",1
bated breath,The announcer announced the last number in a nervous and excited manner which made the audience very anxious of the result .,The announcer announced the last number with bated breath which made the audience very anxious of the result .,in a nervous and excited manner,with bated breath,"[(6, 12)]","[(6, 9)]",1
whet one's appetite,You have made me want to go to another theatre performance after making me watch this one .,You have whetted my appetite to go for another theatre performance after making me watch this one .,made | want,whetted my appetite | for,"[(2, 3), (4, 5)]","[(2, 5), (7, 8)]",2
knight in shining armour,Thank you so much for fixing my flat tire and You saved me from trouble .,Thank you so much for fixing my flat tire and You are a knight in shining armour .,saved me from trouble,are a knight in shining armour,"[(11, 15)]","[(11, 17)]",1
keen as mustard,Little kids are always enthusiastic to learn new things around them .,Little kids are always as keen as mustard to learn new things around them .,enthusiastic,as keen as mustard,"[(4, 5)]","[(4, 8)]",1
rule out,No one was able to create a medicine that would eliminate the viral diseases .,No one was able to create a medicine that would rule out the viral diseases .,eliminate,rule out,"[(10, 11)]","[(10, 12)]",1
water under the bridge,"We used to have big disagreements some years back , but that 's all past events that are not important anymore now and We get along fine .","We used to have big disagreements some years back , but that 's all water under the bridge now and We get along fine .",past events | are not important anymore,water under the bridge,"[(14, 16), (17, 21)]","[(14, 18)]",2
year dot,I have been living in this house as long back as one can remember and know everyone in the vicinity by their first names .,I have been living in this house since the year dot and know everyone in the vicinity by their first names .,as long back as one can remember,since | year dot,"[(7, 14)]","[(7, 8), (9, 11)]",2
in the meantime,The party prepared to move to another location during the time in between .,The party prepared to move to another location in the meantime .,during | time | between,meantime,"[(8, 9), (10, 11), (12, 13)]","[(10, 11)]",3
"hope for the best, but prepare for the worst","The tendency these days is to be optimistic , but ready for hard times .","The tendency these days is to hope for the best , but prepare for the worst .",be optimistic | ready | hard times,hope | the best | prepare | the worst,"[(6, 8), (10, 11), (12, 14)]","[(6, 7), (8, 10), (12, 13), (14, 16)]",4
make a mountain out of a molehill,"You are just overemphasizing it , you just gave a wrong answer , it does n't mean you 're not going to qualify to the second round .","You are just making a mountain out of a molehill , you just gave a wrong answer , it does n't mean you 're not going to qualify to the second round .",overemphasizing,making | mountain out of | molehill,"[(3, 4)]","[(3, 4), (5, 8), (9, 10)]",3
in the pipeline,The project has been in going on forever .,The project has been in the pipeline since forever .,going on,the pipeline since,"[(5, 7)]","[(5, 8)]",1
match made in heaven,Jules and Nora are a perfect combination and They love doing things together and can not bear to be away from each other .,Jules and Nora are a match made in heaven and They love doing things together and can not bear to be away from each other .,perfect combination,match made in heaven,"[(5, 7)]","[(5, 9)]",1
still waters run deep,"Though he rarely speaks in class , there is passion beneath his calm expression .","Though he rarely speaks in class , still waters run deep .",there is passion beneath his calm expression,still waters run deep,"[(7, 14)]","[(7, 11)]",1
miles to go before I sleep,There are many things that need to get done before we can rest .,There are miles to go before I sleep .,many things that need | get done | we can rest,miles | go | I sleep,"[(2, 6), (7, 9), (10, 13)]","[(2, 3), (4, 5), (6, 8)]",3
find feet,He 's still new in his job ; give him some time to get settled in .,He 's still new in his job ; give him some time to find his feet .,get settled,find | feet,"[(13, 15)]","[(13, 14), (15, 16)]",2
mumbo jumbo,"I do not believe in this outdated ritual , human life should be valued far more than some ritual that one is not willing to forego .","I do not believe in this mumbo jumbo , human life should be valued far more than some ritual that one is not willing to forego .",outdated,mumbo jumbo,"[(6, 7)]","[(6, 8)]",1
throw down the gauntlet,"When it comes to the rights of animals , we are always willing to take on the challenge .","When it comes to the rights of animals , we are always willing to throw down the gauntlet .",take on | challenge,throw down | gauntlet,"[(14, 16), (17, 18)]","[(14, 16), (17, 18)]",2
cool as cucumber,"There he stood , undisturbed and totally oblivious to the violence that had shattered the very fabric of the society .","There he stood , cool as cucumber and totally oblivious to the violence that had shattered the very fabric of the society .",undisturbed,cool as cucumber,"[(4, 5)]","[(4, 7)]",1
if it's the last thing I do,"I am going to learn to play the guitar , it does n't matter what is in my way .",I am going to learn to play the guitar if it 's the last thing I do .,", | does n't matter what is in my way",if | 's | last thing | do,"[(9, 10), (11, 19)]","[(9, 10), (11, 12), (13, 15), (16, 17)]",4
take a beating,The younger sibling never takes accountability even if they have done the mischief .,The younger sibling never takes a beating even if they have done the mischief .,accountability,a beating,"[(5, 6)]","[(5, 7)]",1
live wire,John is such an energetic and volatile person ; he is a good source of entertainment .,John is such a live wire ; he is a good source of entertainment .,an energetic and volatile person,live wire,"[(3, 8)]","[(4, 6)]",1
coin a phrase,"She was , as one might say , as clever as fox .","She was , to coin a phrase , as clever as fox .",one might say,to coin a phrase,"[(4, 7)]","[(3, 7)]",1
cold turkey,"He had been trying to quit smoking since a year but could n't , so he decided to stop the habit without tapering off .","He had been trying to quit smoking since a year but could n't , so he decided to go cold turkey .",stop the habit without tapering off,go cold turkey,"[(18, 24)]","[(18, 21)]",1
from pillar to post,"Failing to get a satisfactory answer from her doctor , Mary moved around aimlessly searching for a cure for her illness .","Failing to get a satisfactory answer from her doctor , Mary went from pillar to post searching for a cure for her illness .",moved around aimlessly,went | pillar | post,"[(11, 14)]","[(11, 12), (13, 14), (15, 16)]",3
buzz word,The college students these days have many popular words that their parents do not understand .,The college students these days have many buzz words that their parents do not understand .,popular,buzz,"[(7, 8)]","[(7, 8)]",1
"when it rains, it pours","But you know what they say , when anything happens it goes to the extreme .","But you know what they say , when it rains , it pours .",anything happens | goes to the extreme,rains | pours,"[(8, 10), (11, 15)]","[(9, 10), (12, 13)]",2
take up the cudgels,The whole country has taken a stance against the two men accused of breaking into the school .,The whole country has taken up the cudgels for the two men accused of breaking into the school .,a stance against,up | cudgels for,"[(5, 8)]","[(5, 6), (7, 9)]",2
puppy love,"Most teenagers are quick to fall in love and expect it to last a lifetime , but of course it is a mild infatuation , or a crush , and they soon fall out of it .","Most teenagers are quick to fall in love and expect it to last a lifetime , but of course it is puppy love and they soon fall out of it .",mild infatuation | or | crush,puppy,"[(22, 24), (25, 26), (27, 28)]","[(21, 22)]",3
look before you leap,You better check out the costs that you will have to incur through the duration of this lawsuit before filling it and It is always better to make sure that everything is alright before doing something important which you can not revert .,You better check out the costs that you will have to incur through the duration of this lawsuit before filling it and It is always better to look before you leap .,make sure | everything | alright | doing something important which | can not revert,look | leap,"[(27, 29), (30, 31), (32, 33), (34, 38), (39, 42)]","[(27, 28), (30, 31)]",5
turn turtle,The automobile turned upside down on the highway when the storm got too strong .,The automobile turned turtle on the highway when the storm got too strong .,upside down,turtle,"[(3, 5)]","[(3, 4)]",1
love nest,"Apparently , he had set up a place used for making love a few blocks away from the office where they met everyday after work .","Apparently , he had set up a love nest a few blocks away from the office where they met everyday after work .",place used for making,nest,"[(7, 11)]","[(8, 9)]",1
couldn't care less,"I have heard that my ex is going through another break-up , but I do n't care .","I have heard that my ex is going through another break-up , but I could n't care less .",do,could | less,"[(14, 15)]","[(14, 15), (17, 18)]",2
heavy heart,"In a state of grief , we had to leave the funeral ceremony .","With a heavy heart , we had to leave the funeral ceremony .",In | state of grief,With | heavy heart,"[(0, 1), (2, 5)]","[(0, 1), (2, 4)]",2
nest egg,The stock market has given me good returns and helped me build savings for my retirement .,The stock market has given me good returns and helped me build a nest egg for my retirement .,savings,a nest egg,"[(12, 13)]","[(12, 15)]",1
larger than life,His father is a great man and impressive .,His father is a great man and larger than life .,impressive,larger than life,"[(7, 8)]","[(7, 10)]",1
devil's advocate,"I agree with what you say , but I 'll advocate against you so that we can cover all the possibilities that may arise .","I agree with what you say , but I 'll play devil 's advocate so that we can cover all the possibilities that may arise .",against,play devil 's,"[(11, 12)]","[(10, 13)]",1
have a soft spot,My brother used to like a girl in his class .,My brother used to have a soft spot for a girl in his class .,like,have | soft spot for,"[(4, 5)]","[(4, 5), (6, 9)]",2
so to speak,"I will tell you what is going on but only because you are already family , that is to say .","I will tell you what is going on but only because you are already family , so to speak .",that | say,so | speak,"[(16, 17), (19, 20)]","[(16, 17), (18, 19)]",2
yes man,The fact that he 's such a crowd pleaser makes me wonder if I even know him because he always just agrees with what everyone says .,The fact that he 's such a yes man makes me wonder if I even know him because he always just agrees with what everyone says .,crowd pleaser,yes man,"[(7, 9)]","[(7, 9)]",1
fancy free,Until the time his father was around to take care of him he was footloose and did as he pleased and now things are very different .,Until the time his father was around to take care of him he was footloose and fancy free and now things are very different .,did as | pleased,fancy free,"[(16, 18), (19, 20)]","[(16, 18)]",2
run for cover,Let 's seek shelter because I hate to be wet in such cold weather . '',Let us run for cover because I hate to be wet in such cold weather . '','s seek shelter,us run for cover,"[(1, 4)]","[(1, 5)]",1
leave at the altar,Judy was devastated when her fiance did not turn up for their wedding and decided not to marry her .,Judy was devastated when her fiance did not turn up for their wedding and left her at the altar .,decided | to marry,left | at the altar,"[(14, 15), (16, 18)]","[(14, 15), (16, 19)]",2
behind closed doors,"The planning board of the finance division constantly meets secretly , in case its negotiations become known in advance .","The planning board of the finance division constantly meets behind closed doors , in case its negotiations become known in advance .",secretly,behind closed doors,"[(9, 10)]","[(9, 12)]",1
stand in a good stead,His years of experience in the spoken English field have been useful for him .,His years of experience in the spoken English field has stood him in good stead .,have been useful for,has stood | good stead,"[(9, 13)]","[(9, 11), (13, 15)]",2
over and above,Firefighters always do more than necessary to ensure that people are safe .,Firefighters always go over and above to ensure that people are safe .,do more than necessary,go over and above,"[(2, 6)]","[(2, 6)]",1
in a fog,Jane always seems to be confused .,Jane always seems to be in a fog .,confused,in a fog,"[(5, 6)]","[(5, 8)]",1
add insult to injury,"The company rejected his application for a job , and to make a bad situation worse , refused to pay his expenses .","The company rejected his application for a job , and to add insult to injury , refused to pay his expenses .",make | bad situation worse,add insult | injury,"[(11, 12), (13, 16)]","[(11, 13), (14, 15)]",2
every nook and cranny,"The lawyers searched every place to find more evidence but alas , there was none .","The lawyers searched every nook and cranny to find more evidence but alas , there was none .",place,nook and cranny,"[(4, 5)]","[(4, 7)]",1
when pigs fly,"Her crazy mother said that being so lazy , Megan is going to be rich one day for sure and without any hard working job and Come on , that 's impossible","Her crazy mother said that being so lazy , Megan is going to be rich one day for sure and without any hard working job and Come on , when pigs fly !",'s impossible,when pigs fly !,"[(30, 32)]","[(29, 33)]",1
off on the wrong foot,Their relationship started off badly when they had a huge misunderstanding .,Their relationship started off on the wrong foot when they had a huge misunderstanding .,badly,on the wrong foot,"[(4, 5)]","[(4, 8)]",1
feather in your cap,"Ruth scored the last goal for her team , an achievement to her list .","Ruth scored the last goal for her team , adding a feather in her cap .",an achievement to | list,adding a feather in | cap,"[(9, 12), (13, 14)]","[(9, 13), (14, 15)]",2
