normal,metaphorical,literal_segments,metaphor_segments,literal_positions,metaphor_positions,num_differences
I was looking at the sun so intensely that it was reflecting bright light back in my eyes.,I was staring straight into the shining sun.,reflecting bright light back in my eyes,staring straight into the shining sun,"[(12, 18)]","[(3, 8)]",1
They created a shudder through my being still.,They sent a shudder through my being still.,created a shudder through my being still,sent a shudder through my being still,"[(2, 8)]","[(2, 8)]",1
Their desire was very intense and it was palpable.,They were burning with desire.,was very intense and it was palpable,They were burning with desire,"[(3, 9)]","[(1, 5)]",1
His playing classify him as a Romantic.,His playing erected him as a Romantic.,classify him as a Romantic,erected him as a Romantic,"[(3, 7)]","[(3, 7)]",1
The rooms in the house are very close to each other and almost seem that they are connected.,The rooms communicated.,the house are very close to each other and almost seem that they are connected,communicated,"[(4, 18)]","[(3, 3)]",1
You speak in a charming and effective way but I am not convinced.,Your words surround me but I will not surrender.,You speak in a charming and effective way,Your words surround me,"[(1, 8)]","[(1, 4)]",1
The overload of information totally makes me feel overwhelmed.,I cannot digest all this information.,totally makes me feel overwhelmed,I cannot digest all this information,"[(5, 9)]","[(1, 6)]",1
It was a struggle for me to complete the work.,I waded through the work.,It was a struggle for me to complete the work,I waded through the work,"[(1, 10)]","[(1, 5)]",1
Impose a responsibility on someone.,Lay a responsibility on someone.,Impose a responsibility,Lay a responsibility,"[(1, 3)]","[(1, 3)]",1
All the men were made kinder and gentler.,All the hearts of men were  softened.,the men were made kinder and gentler,the hearts of men were softened,"[(2, 8)]","[(2, 7)]",1
Tears had rolled down my eyes and my face was red.,My eyes welled up and I could feel my face turning red.,Tears had rolled down my eyes,I could feel my face,"[(1, 6)]","[(6, 10)]",1
The drought has made the water level at the reservoir really really low.,The lack of rain had depressed the water level in the reservoir.,The drought has made the water level | at the reservoir really really low,The lack of rain had depressed the water level | in the reservoir,"[(1, 7), (8, 13)]","[(1, 9), (10, 12)]",2
The dollar will soon be devalued by inflation.,The dollar has been dried by inflation.,will soon be devalued by inflation,has been dried by inflation,"[(3, 8)]","[(3, 7)]",1
The company fired him after many years of service.,The company released him after many years of service.,fired him after many years of service,released him after many years of service,"[(3, 9)]","[(3, 9)]",1
The smell of smoke always settles in this delinquent's house.,The smell of smoke rested on the delinquent.,always settles in this delinquent's house,rested on the delinquent,"[(5, 10)]","[(5, 8)]",1
The sight of the abandoned boat on waves is really sad.,"Floating on the waves we saw the abandoned boat, a dark sight indeed.",The sight of the abandoned boat | on waves is really sad,Floating on the waves we saw the abandoned boat | a dark sight indeed,"[(1, 6), (7, 11)]","[(1, 9), (10, 13)]",2
They searched thorougly through the job candidates.,They scoured through the job candidates.,searched thorougly through the job candidates,scoured through the job candidates,"[(2, 7)]","[(2, 6)]",1
Jane knew there was potential for conflict when the conversations about the assignments began.,Jane knew these dicsussions were the seeds of a potential conflict.,there was potential,these dicsussions were the,"[(3, 5)]","[(3, 6)]",1
She brought happiness and joy into my life.,She was the light of my life.,brought happiness and joy into my life,was the light of my life,"[(2, 8)]","[(2, 7)]",1
He held the knowledge or beliefs of his tribe.,He embraced the knowledge or beliefs of his tribe.,held the knowledge,embraced the knowledge,"[(2, 4)]","[(2, 4)]",1
I was overwhelmed with work with too much to do.,I was swamped with work.,overwhelmed with work with too much to do,swamped with work,"[(3, 10)]","[(3, 5)]",1
The flowers move to all directions under the powerful wind.,The flowers danced in the wind.,move to all directions under the powerful wind,danced in the wind,"[(3, 10)]","[(3, 6)]",1
She experienced a euphoric feeling.,Then a colorful joy exploded in her chest.,She experienced a,a colorful joy exploded in her chest,"[(1, 3)]","[(2, 8)]",1
It was really crazy when people started running out of the theater.,People were streaming out of the theater.,It was really crazy when people,were streaming out,"[(1, 6)]","[(2, 4)]",1
Are you not listening to me?,Am I talking to a brick wall?,Are you not listening,Am I talking,"[(1, 4)]","[(1, 3)]",1
Death has come at the door.,Death is knocking at the door.,has come at the door,is knocking at the door,"[(2, 6)]","[(2, 6)]",1
A fun time was ruined as soon as she left the party.,The party died as soon as she left.,A fun time was ruined,The party died,"[(1, 5)]","[(1, 3)]",1
These rivers come from a mountain range in the himalayas.,These rivers head from a mountain range in the himalayas.,come from a mountain range in the himalayas,head from a mountain range in the himalayas,"[(3, 10)]","[(3, 10)]",1
He hated to see or experience failure.,He hated the stench of failure.,to see or experience failure,the stench of failure,"[(3, 7)]","[(3, 6)]",1
The avalanche destroyed anything in its path like a bulldozer.,The avalanche torpedoed anything standing in its way.,destroyed anything in its path like a bulldozer,torpedoed anything standing in its way,"[(3, 10)]","[(3, 8)]",1
people are passing by and lamps hanging along the streets cast light on their faces.,The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below.,people are passing by and lamps hanging along the,the street’s long bough dripping their light,"[(1, 9)]","[(9, 15)]",1
He has to pay for all the repairs because of an accident.,He absorbed the costs for the accident.,the repairs because of an accident,absorbed the costs for the accident,"[(7, 12)]","[(2, 7)]",1
He had a hard time navigating his way through the new city.,The new city was a maze for him.,He had a hard time navigating his way,a maze for him,"[(1, 8)]","[(5, 8)]",1
I would not do something as unsavory as reading other people's mail.,I won't bow to reading other people's mail.,would not do something as unsavory as reading other people's mail,won't bow to reading other people's mail,"[(2, 12)]","[(2, 8)]",1
Adam closed the front door and stood there for a moment as if he could not pull himself away .,Adam closed the front door and stood there for a moment as if he could not wrench himself away .,pull himself away,wrench himself away,"[(17, 19)]","[(17, 19)]",1
This extremely expensive bordeaux wine should be allowed to oxidize and open up for 2 hours at least.,This rare bordeaux must be allowed to breathe for at least 2 hours.,This extremely expensive bordeaux wine should be allowed to | oxidize and open up for 2 hours at least,This rare bordeaux must be allowed to | breathe for at least 2 hours,"[(1, 9), (10, 18)]","[(1, 7), (8, 13)]",2
He felt a sudden intense pain through his leg.,He felt a sudden red pain through his leg.,intense pain through his leg,red pain through his leg,"[(5, 9)]","[(5, 9)]",1
She doesn't mind blabbering useless things.,She spews a lot of nonsense.,doesn't mind blabbering useless things,spews a lot of nonsense,"[(2, 6)]","[(2, 6)]",1
Stock prices are increasing everyday.,Stock prices are rocketing higher.,increasing everyday,rocketing higher,"[(4, 5)]","[(4, 5)]",1
I knew the moment had arrived when the silence became too much to bear.,"Silence was crushing, I knew the moment had arrived.",when the silence became too much to bear,Silence was crushing,"[(7, 14)]","[(1, 3)]",1
My heart beats when he enters the room.,My heart sings when he walks in the room.,beats when he enters the room,sings when he walks in the room,"[(3, 8)]","[(3, 9)]",1
"Here, I told the truth but was wrongfully accused .","And truth exalted, and righted wrong.","Here, I told the truth","exalted, and righted wrong","[(1, 5)]","[(3, 6)]",1
The hidden sun will once again emerge from the dark.,The hidden sun unfurls with light.,will once again emerge from the dark,unfurls with light,"[(4, 10)]","[(4, 6)]",1
Experiencing great joy was Mudjekeewis.,Filled  with joy was Mudjekeewis.,Experiencing great joy was Mudjekeewis,Filled with joy was Mudjekeewis,"[(1, 5)]","[(1, 5)]",1
Slowly his sense and strength increased.,Slowly his sense and strength grew.,increased,grew,"[(6, 6)]","[(6, 6)]",1
His voice transmitted up the house.,His voice filled up the house.,transmitted up the house,filled up the house,"[(3, 6)]","[(3, 6)]",1
Krishna gets up very early in the morning.,Krishna is an early bird.,gets up very early in the morning,is an early bird,"[(2, 8)]","[(2, 5)]",1
The faculty meeting was very bad.,The faculty meeting was a tragedy.,very bad,a tragedy,"[(5, 6)]","[(5, 6)]",1
 The new measures will greatly affect our economy.,The new measures transformed the economy.,will greatly affect our economy,transformed the economy,"[(4, 8)]","[(4, 6)]",1
We must acknowledge the fact that she was kind to us.,We must embrace the kindness she showed towards us.,acknowledge the fact that she was kind to us,embrace the kindness she showed towards us,"[(3, 11)]","[(3, 9)]",1
The boss became outrageous when he heard of the resignation of the secretary.,The boss exploded when he heard of the resignation of the secretary.,became outrageous when he heard of the resignation of the secretary,exploded when he heard of the resignation of the secretary,"[(3, 13)]","[(3, 12)]",1
I illustrated that all his arguments were inconsistent.,I demolished his argument.,illustrated that all his arguments were inconsistent,demolished his argument,"[(2, 8)]","[(2, 4)]",1
We must acknowledge the fact that she has always been kind to us.,We must salute the kindness she showed towards us.,has always been kind to us,showed towards us,"[(8, 13)]","[(7, 9)]",1
A new moon rising between the trees.,The new moon swims up through the tree tops.,rising between the,swims up through the,"[(4, 6)]","[(4, 7)]",1
"That the two theories look so similar, I can't differentiate between them.",The distinction between the two theories wilted.,"That the two theories | look so similar, I can't differentiate between them",The distinction between the two theories | wilted,"[(1, 4), (5, 12)]","[(1, 6), (7, 7)]",2
The train horn broke the peace of mind.,The train horn fractured the peace.,broke the peace of mind,fractured the peace,"[(4, 8)]","[(4, 6)]",1
The new moon is rising through the tree tops.,The new moon peers through the tree tops.,is rising through the tree tops,peers through the tree tops,"[(4, 9)]","[(4, 8)]",1
Dimples formed in his cheeks.,Dimples nestled in his cheeks.,formed in his cheeks,nestled in his cheeks,"[(2, 5)]","[(2, 5)]",1
She is a cruel human being and her attitude was really mean and rude.,She had a heart of stone.,a cruel human being and her attitude was really mean and rude,a heart of stone,"[(3, 14)]","[(3, 6)]",1
Her fear was so terrifying that it was blocking her mind.,Fear choked her mind.,was so terrifying that it was blocking her mind,choked her mind,"[(3, 11)]","[(2, 4)]",1
"After many years of loyal service, the company fired him.",The company dumped him after many years of service.,"loyal service, the company fired him",The company dumped him,"[(5, 10)]","[(1, 4)]",1
Sunset takes place in the evening.,From its blue vase the rose of evening drops.,Sunset takes place in the evening,From its blue vase the,"[(1, 6)]","[(1, 5)]",1
Don't mention Tom's promotion to Mike as Mike is going to feel pissed about it.,Don't mention Tom 's promotion to Mike as it would be a red flag to a bull.,Tom's promotion to Mike as | Mike is going to feel pissed about it,Tom 's promotion to Mike as | it would be a red flag to a bull,"[(3, 7), (8, 15)]","[(3, 8), (9, 17)]",2
"Even if a car is old, such as the 1980 Toyota Corolla or 1982 Nissan Sunny, it won't rust because of technological innovation.","Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to rust , and you can buy with confidence .","Even if a car is old, such as the 1980 Toyota Corolla | it won't rust because of technological innovation","Find a 1980 Toyota Corolla | that has not succumbed to rust , and you can buy with confidence","[(1, 12), (17, 23)]","[(1, 5), (10, 23)]",2
Her bones are chilled by the cold.,The cold hollows her bones.,are chilled by the cold,hollows her bones,"[(3, 7)]","[(3, 5)]",1
The candle flame twisted in the dark.,The candle flame twirled in the dark.,twisted in the dark,twirled in the dark,"[(4, 7)]","[(4, 7)]",1
Till it pulled itself together.,"Till it drew itself together ,",pulled itself together,drew itself together,"[(3, 5)]","[(3, 6)]",1
Consumed by the thoughts that were in the head,Consumed by the thoughts that grew in the head.,that were in the head,that grew in the head,"[(5, 9)]","[(5, 9)]",1
He was stricken with a terrible illness that killed him so fast he had no chance to do anything.,He was gripped with a terrible illness that killed him quickly.,stricken with a terrible illness that killed him | so fast he had no chance to do anything,gripped with a terrible illness that killed him | quickly,"[(3, 10), (11, 19)]","[(3, 10), (11, 11)]",2
The Star tops the Christmas tree during Christmas.,A star crowns the Christmas Tree.,during Christmas,A star crowns,"[(7, 8)]","[(1, 3)]",1
The little raindrops falling together stick upon my coat.,The little raindrops collapsing together stick upon my coat.,falling together stick upon my coat,collapsing together stick upon my coat,"[(4, 9)]","[(4, 9)]",1
