normal,gen_z,literal_segments,slang_segments,literal_positions,slang_positions,num_differences
I'm just going to grab some coffee before I start working on my project.,"I'm just finna catch some coffee before I grind on my project, no cap.",going to grab | start working | project.,"finna catch | grind | project, no cap.","[(2, 5), (9, 11), (13, 14)]","[(2, 4), (8, 9), (11, 14)]",3
"Hey, I just realized I forgot my keys at home.","Yo, just peeped I left my keys vibing at home lol.","Hey, | just realized I forgot | home.","Yo, just peeped | left | vibing | home lol.","[(0, 1), (2, 6), (8, 8), (9, 10)]","[(0, 3), (4, 5), (7, 8), (9, 11)]",3
I just got back from shopping and I'm really tired.,"Just hit the mall and I'm completely drained, fr.",I just got back from shopping | really tired.,"Just hit the mall | completely drained, fr.","[(0, 6), (8, 10)]","[(0, 4), (6, 9)]",2
"Hey, did you see the new movie lately?","Yo, did you catch the new flick recently?","Hey, | see | movie lately?","Yo, | catch | flick recently?","[(0, 1), (3, 4), (6, 8)]","[(0, 1), (3, 4), (6, 8)]",3
"Hey, are you free this weekend to hang out?","Yo, you free this weekend to chill?","Hey, are | hang out?","Yo, | chill?","[(0, 2), (7, 9)]","[(0, 1), (6, 7)]",2
I'm just chilling at home and relaxing after a busy day.,"I'm just vibin' at home, takin' it easy after a hectic day.",chilling | home and relaxing | busy,"vibin' | home, takin' it easy | hectic","[(2, 3), (4, 7), (9, 10)]","[(2, 3), (4, 8), (10, 11)]",3
I'm just going to grab some coffee before I head out.,I'm just finna snag some java before I dip.,going to grab | coffee | head out.,finna snag | java | dip.,"[(2, 5), (6, 7), (9, 11)]","[(2, 4), (5, 6), (8, 9)]",3
I'm really tired after doing so much work today.,"I'm totally drained after grindin' all day, no cap.",really tired | doing so much work today.,"totally drained | grindin' all day, no cap.","[(1, 3), (4, 9)]","[(1, 3), (4, 9)]",2
I'm really tired after walking all day.,I'm totally wiped after vibing all day.,really tired | walking,totally wiped | vibing,"[(1, 3), (4, 5)]","[(1, 3), (4, 5)]",2
I was just hanging out with my friends at the cafe.,"I was just vibin' with my crew at the cafe, fr fr.",hanging out | friends | cafe.,"vibin' | crew | cafe, fr fr.","[(3, 5), (7, 8), (10, 11)]","[(3, 4), (6, 7), (9, 12)]",3
"Hey, I just got back from the store and grabbed some snacks.","Yo, just hit the store and stacked up on snacks, fr fr!","Hey, I | got back from | grabbed some snacks.","Yo, | hit | stacked up on snacks, fr fr!","[(0, 2), (3, 6), (9, 12)]","[(0, 1), (2, 3), (6, 12)]",3
I'm just really tired today and feeling a bit lazy.,"Yo, I’m mad drained today and vibing with the chill mode.",I'm just really tired | feeling a bit lazy.,"Yo, I’m mad drained | vibing with the chill mode.","[(0, 4), (6, 10)]","[(0, 4), (6, 11)]",2
I'm just about to grab dinner with my friends.,"Gonna hit up my friends for some grub, fr fr.",I'm just about to grab dinner with | friends.,"Gonna hit up | friends for some grub, fr fr.","[(0, 7), (8, 9)]","[(0, 3), (4, 10)]",2
"Hey, do you want to go out and grab some ice cream later?","Yo, wanna dip and get some ice cream later?","Hey, do you want to go out | grab","Yo, wanna dip | get","[(0, 7), (8, 9)]","[(0, 3), (4, 5)]",2
"Hey, did you finish your homework already?","Yo, did you peep your homework yet or nah?","Hey, | finish | already?","Yo, | peep | yet or nah?","[(0, 1), (3, 4), (6, 7)]","[(0, 1), (3, 4), (6, 9)]",3
"Hey, I saw your new outfit and it looks really nice!","Yo, I peeped your new fit and it's totally fire! 🔥","Hey, | saw | outfit | it looks really nice!","Yo, | peeped | fit | it's totally fire! 🔥","[(0, 1), (2, 3), (5, 6), (7, 11)]","[(0, 1), (2, 3), (5, 6), (7, 11)]",4
I'm just really tired today after staying up all night.,I'm totally drained 'cause I pulled an all-nighter.,just really tired today after staying up all night.,totally drained 'cause I pulled an all-nighter.,"[(1, 10)]","[(1, 8)]",1
I'm feeling really tired after a long day at school.,I'm totally beat after acing that long day at school.,feeling really tired | a,totally beat | acing that,"[(1, 4), (5, 6)]","[(1, 3), (4, 6)]",2
"Hey, do you want to go for a walk to the park?","Yo, wanna hit up the park for a stroll?","Hey, do you want to go | walk to the park?","Yo, wanna hit up the park | stroll?","[(0, 6), (8, 12)]","[(0, 6), (8, 9)]",2
I'm just gonna hang out with my friends tonight.,I'm just finna chill with my squad tonight.,gonna hang out | friends,finna chill | squad,"[(2, 5), (7, 8)]","[(2, 4), (6, 7)]",2
"Hey, I just finished my homework and I'm super tired.","Yo, I just knocked out my homework and I'm dead tired rn.","Hey, | finished | super tired.","Yo, | knocked out | dead tired rn.","[(0, 1), (3, 4), (8, 10)]","[(0, 1), (3, 5), (9, 12)]",3
I'm really excited to meet my friends later.,I'm super hyped to vibe with my crew later.,really excited | meet | friends,super hyped | vibe with | crew,"[(1, 3), (4, 5), (6, 7)]","[(1, 3), (4, 6), (7, 8)]",3
"I'm really tired today, so I just want to rest and watch some TV.","I'm hella drained today, just tryna chill and binge some shows.",really tired | so I | want to rest | watch | TV.,hella drained | tryna chill | binge | shows.,"[(1, 3), (4, 6), (7, 10), (11, 12), (13, 14)]","[(1, 3), (4, 4), (5, 7), (8, 9), (10, 11)]",5
I'm just really tired today and feel like I need a coffee.,"I'm hella exhausted today, lowkey need a coffee stat.",just really tired today and feel like I | coffee.,"hella exhausted today, lowkey | coffee stat.","[(1, 9), (11, 12)]","[(1, 5), (7, 9)]",2
I'm just going to grab some coffee and then go shopping.,"Just gonna snag some coffee and hit up the mall, no cap.",I'm just going to grab | then go shopping.,"Just gonna snag | hit up the mall, no cap.","[(0, 5), (8, 11)]","[(0, 3), (6, 12)]",2
"Hey, I just finished my homework and I want to relax now.","Yo, just wrapped my homework, now I’m chillin’ and vibin’.","Hey, I | finished | homework | I want to relax now.","Yo, | wrapped | homework, now I’m chillin’ | vibin’.","[(0, 2), (3, 4), (5, 6), (7, 12)]","[(0, 1), (2, 3), (4, 8), (9, 10)]",4
I'm just really tired because I didn't get enough sleep last night.,I'm lowkey drained 'cause I didn’t catch enough Z's last night.,just really tired because | didn't get | sleep,lowkey drained 'cause | didn’t catch | Z's,"[(1, 5), (6, 8), (9, 10)]","[(1, 4), (5, 7), (8, 9)]",3
I'm just excited to hang out with my friends today.,I'm so hyped to chill with my squad today.,just excited | hang out | friends,so hyped | chill | squad,"[(1, 3), (4, 6), (8, 9)]","[(1, 3), (4, 5), (7, 8)]",3
"I'm really tired today, I didn't get much sleep last night.","I'm super drained today, barely slept last night lol.",really tired | I didn't get much sleep | night.,super drained | barely slept | night lol.,"[(1, 3), (4, 9), (10, 11)]","[(1, 3), (4, 6), (7, 9)]",3
"I'm really tired today, so I'm just going to stay home and relax.","I'm drained today, so I'm just vibing at home and chilling.",really tired | going to stay | relax.,drained | vibing at | chilling.,"[(1, 3), (7, 10), (12, 13)]","[(1, 2), (6, 8), (10, 11)]",3
I'm just heading to the grocery store to pick up some food.,I'm just vibing to the store to grab some snacks.,heading | grocery | pick up | food.,vibing | grab | snacks.,"[(2, 3), (5, 6), (8, 10), (11, 12)]","[(2, 3), (5, 5), (7, 8), (9, 10)]",4
"Hey, I'm really tired today and just want to relax.","Hey, I'm hella drained today and just wanna chill vibe.",really tired | want to relax.,hella drained | wanna chill vibe.,"[(2, 4), (7, 10)]","[(2, 4), (7, 10)]",2
I can't believe how tired I am after a long day.,"Bruh, I'm so drained after this full-on day, no cap.",I can't believe how tired I am | a long day.,"Bruh, I'm so drained | this full-on day, no cap.","[(0, 7), (8, 11)]","[(0, 4), (5, 10)]",2
I'm just going to stay home and relax tonight.,"I'm just vibing at home tonight, no cap.",going to stay | and relax tonight.,"vibing at | tonight, no cap.","[(2, 5), (6, 9)]","[(2, 4), (5, 8)]",2
I'm really excited to hang out with my friends later.,"I'm mega hyped to chill with my squad later, fr fr!",really excited | hang out | friends later.,"mega hyped | chill | squad later, fr fr!","[(1, 3), (4, 6), (8, 10)]","[(1, 3), (4, 5), (7, 11)]",3
I'm just hanging out with friends at the mall today.,Just vibing with the squad at the mall today.,I'm just hanging out | friends,Just vibing | the squad,"[(0, 4), (5, 6)]","[(0, 2), (3, 5)]",2
"Hey, I'm going to grab some coffee. Want to join me?","Yo, I'm about to snag some coffee. You in?","Hey, | going | grab | Want to join me?","Yo, | about | snag | You in?","[(0, 1), (2, 3), (4, 5), (7, 11)]","[(0, 1), (2, 3), (4, 5), (7, 9)]",4
I'm just going to chill and watch some Netflix tonight.,I'm just gonna vibe and binge some Netflix tonight.,going to chill | watch,gonna vibe | binge,"[(2, 5), (6, 7)]","[(2, 4), (5, 6)]",2
I'm going to hang out with my friends at the park this afternoon.,I'm about to chill with the squad at the park later.,going | hang out | my friends | this afternoon.,about | chill | the squad | later.,"[(1, 2), (3, 5), (6, 8), (11, 13)]","[(1, 2), (3, 4), (5, 7), (10, 11)]",4
"Hey, I'm just going to grab some coffee before heading to school.","Yo, I'm just finna hit up some coffee before I slide to school.","Hey, | going to grab | heading","Yo, | finna hit up | I slide","[(0, 1), (3, 6), (9, 10)]","[(0, 1), (3, 6), (9, 11)]",3
"Hey, I really enjoy hanging out with my friends after school.","Yo, I’m vibing with my squad after class, fr.","Hey, I really enjoy hanging out | friends | school.","Yo, I’m vibing | squad | class, fr.","[(0, 6), (8, 9), (10, 11)]","[(0, 3), (5, 6), (7, 9)]",3
"Hey, I just finished my homework and I'm feeling relaxed now.","Yo, just knocked out my homework, now I’m vibing chill.","Hey, I | finished | homework and I'm feeling relaxed now.","Yo, | knocked out | homework, now I’m vibing chill.","[(0, 2), (3, 4), (5, 11)]","[(0, 1), (2, 4), (5, 10)]",3
"Hey, I just got back from the store and I found some really cool sneakers.","Yo, just hit the store and scored some sick kicks!","Hey, I | got back from | I found | really cool sneakers.","Yo, | hit | scored | sick kicks!","[(0, 2), (3, 6), (9, 11), (12, 15)]","[(0, 1), (2, 3), (6, 7), (8, 10)]",4
I'm really tired after all that studying today.,"I'm totally drained after cramming all day, no cap.",really tired | that studying today.,"totally drained | cramming | day, no cap.","[(1, 3), (4, 4), (5, 8)]","[(1, 3), (4, 5), (6, 9)]",2
I'm just chilling at home and binge-watching my favorite show.,"I'm just vibing at home, bingeing my fave show, no cap.",chilling | home and binge-watching | favorite show.,"vibing | home, bingeing | fave show, no cap.","[(2, 3), (4, 7), (8, 10)]","[(2, 3), (4, 6), (7, 11)]",3
I'm just catching up on some shows today.,"I'm just vibing with some shows today, no cap.",catching up on | today.,"vibing with | today, no cap.","[(2, 5), (7, 8)]","[(2, 4), (6, 9)]",2
"Hey, do you want to grab coffee with me later?","Yo, wanna tap in for coffee later?","Hey, do you want to grab | with me","Yo, wanna tap in for","[(0, 6), (7, 9)]","[(0, 5), (6, 6)]",2
I'm just going to grab some food and relax at home.,I'm just finna get some grub and kick back at home.,going to grab | food | relax,finna get | grub | kick back,"[(2, 5), (6, 7), (8, 9)]","[(2, 4), (5, 6), (7, 9)]",3
I'm going to meet my friends at the coffee shop later.,I'm linking up with my crew at the coffee shop later.,going to meet | friends,linking up with | crew,"[(1, 4), (5, 6)]","[(1, 4), (5, 6)]",2
I just finished my homework and I was wondering if you want to hang out later.,"Just wrapped my homework, and I was lowkey tryna see if you're down to chill later.",I just finished | homework | wondering | you want | hang out,"Just wrapped | homework, | lowkey tryna see | you're down | chill","[(0, 3), (4, 5), (8, 9), (10, 12), (13, 15)]","[(0, 2), (3, 4), (7, 10), (11, 13), (14, 15)]",5
I'm really happy that I finally finished my homework.,"I'm stoked I finally knocked out my homework, fr fr!",really happy that | finished | homework.,"stoked | knocked out | homework, fr fr!","[(1, 4), (6, 7), (8, 9)]","[(1, 2), (4, 6), (7, 10)]",3
"Hey, did you finish your homework last night?","Yo, did you ace your homework yesterday or nah?","Hey, | finish | last night?","Yo, | ace | yesterday or nah?","[(0, 1), (3, 4), (6, 8)]","[(0, 1), (3, 4), (6, 9)]",3
That movie was really good tonight.,That flick was fire tonight!,movie | really good tonight.,flick | fire tonight!,"[(1, 2), (3, 6)]","[(1, 2), (3, 5)]",2
"I'm really tired today, so I think I'll just chill at home.","I'm hella drained today, so I'm just gonna vibe at my crib.",really tired | I think I'll | chill | home.,hella drained | I'm | gonna vibe | my crib.,"[(1, 3), (5, 8), (9, 10), (11, 12)]","[(1, 3), (5, 6), (7, 9), (10, 12)]",4
"Hey, I'm going to grab some coffee before heading to class.","Yo, I'm about to snag some ☕ before hitting up class.","Hey, | going | grab | coffee | heading to","Yo, | about | snag | ☕ | hitting up","[(0, 1), (2, 3), (4, 5), (6, 7), (8, 10)]","[(0, 1), (2, 3), (4, 5), (6, 7), (8, 10)]",5
Let's hang out after school tomorrow.,"Yo, let's vibe together after school tmrw!",Let's hang out | tomorrow.,"Yo, let's vibe together | tmrw!","[(0, 3), (5, 6)]","[(0, 4), (6, 7)]",2
"I'm actually really tired today, so I think I'll just relax at home.","Yo, I'm super drained today, so I'm just gonna chill at home.",actually really tired | I think I'll | relax,"Yo, | super drained | I'm | gonna chill","[(0, 0), (1, 4), (6, 9), (10, 11)]","[(0, 1), (2, 4), (6, 7), (8, 10)]",3
"I'm really tired today, so I think I just want to stay home and relax.","I'm sooo drained today, just tryna chill at home and veg out.",really tired | so I think I | want to stay | relax.,sooo drained | tryna chill at | veg out.,"[(1, 3), (4, 8), (9, 12), (14, 15)]","[(1, 3), (4, 4), (5, 8), (10, 12)]",4
"I'm really tired today, so I think I'll just rest at home.","I'm dead tired today, so imma just chill at home.",really | I think I'll | rest,dead | imma | chill,"[(1, 2), (5, 8), (9, 10)]","[(1, 2), (5, 6), (7, 8)]",3
I'm just casually hanging out with my friends at the mall.,"I'm just vibing with my crew at the mall, no cap.",casually hanging out | friends | mall.,"vibing | crew | mall, no cap.","[(2, 5), (7, 8), (10, 11)]","[(2, 3), (5, 6), (8, 11)]",3
I really enjoyed hanging out with my friends at the park today.,Had a lit time chillin' with my crew at the park today.,I really enjoyed hanging out | friends,Had a lit time chillin' | crew,"[(0, 5), (7, 8)]","[(0, 5), (7, 8)]",2
I'm really excited about the new movie tonight.,I'm hella pumped for the new flick tonight.,really excited about | movie,hella pumped for | flick,"[(1, 4), (6, 7)]","[(1, 4), (6, 7)]",2
I'm just really tired today and didn't feel like going out.,I'm deadass exhausted today and had zero chill for going out.,just really tired | didn't feel like,deadass exhausted | had zero chill for,"[(1, 4), (6, 9)]","[(1, 3), (5, 9)]",2
I'm really tired today after studying all night.,I'm mad tired today ’cause I pulled an all-nighter studying.,really | after studying all night.,mad | ’cause I pulled an all-nighter studying.,"[(1, 2), (4, 8)]","[(1, 2), (4, 10)]",2
"Hey, do you want to grab some coffee together later?","Yo, wanna vibe and get some coffee later?","Hey, do you want to grab | together","Yo, wanna vibe and get","[(0, 6), (8, 9)]","[(0, 5), (7, 7)]",2
I can't believe how busy the city is today.,"Fr, the city is posted today, so hectic!",I can't believe how busy | today.,"Fr, | posted today, so hectic!","[(0, 5), (8, 9)]","[(0, 1), (4, 8)]",2
I'm just really tired today and feeling a bit stressed out.,"I'm totally worn out today and vibing with some major stress, fr.",just really tired | feeling a bit stressed out.,"totally worn out | vibing with some major stress, fr.","[(1, 4), (6, 11)]","[(1, 4), (6, 12)]",2
"Hey, that movie was really good!","Yo, that flick was straight fire!","Hey, | movie | really good!","Yo, | flick | straight fire!","[(0, 1), (2, 3), (4, 6)]","[(0, 1), (2, 3), (4, 6)]",3
I'm just trying to relax and watch some movies tonight.,I'm just chillin' and binge-watching some flicks tonight.,trying to relax | watch | movies,chillin' | binge-watching | flicks,"[(2, 5), (6, 7), (8, 9)]","[(2, 3), (4, 5), (6, 7)]",3
I'm just feeling a bit tired today.,I'm kind of vibing with that sleepy energy today.,just feeling a bit tired,kind of vibing with that sleepy energy,"[(1, 6)]","[(1, 8)]",1
I'm really excited about the weekend plans with my friends.,I'm super hyped for the weekend squad hangout!,really excited about | plans with my friends.,super hyped for | squad hangout!,"[(1, 4), (6, 10)]","[(1, 4), (6, 8)]",2
I'm just going for a walk to clear my mind.,"Yo, I’m just out here vibing on a walk to free my brain, no cap.",I'm | going for | clear | mind.,"Yo, I’m | out here vibing on | free | brain, no cap.","[(0, 1), (2, 4), (7, 8), (9, 10)]","[(0, 2), (3, 7), (10, 11), (12, 15)]",4
"Hey, do you want to grab lunch after school?","Yo, wanna hit up lunch after classes?","Hey, do you want to grab | school?","Yo, wanna hit up | classes?","[(0, 6), (8, 9)]","[(0, 4), (6, 7)]",2
"Hey, are you coming to the party later?","Yo, ya peepin' the party tonight or what?","Hey, are you coming to | later?","Yo, ya peepin' | tonight or what?","[(0, 5), (7, 8)]","[(0, 3), (5, 8)]",2
I'm going to grab some food from the cafeteria.,I'm finna hit up the cafeteria for some chow.,going to grab | food from the cafeteria.,finna hit up the cafeteria for | chow.,"[(1, 4), (5, 9)]","[(1, 7), (8, 9)]",2
"Hey, I was just thinking about how cool the new game is.","Yo, that new game is straight fire, no cap.","Hey, I was just thinking about how cool the | is.","Yo, that | is straight fire, no cap.","[(0, 9), (11, 12)]","[(0, 2), (4, 9)]",2
I'm feeling really tired today because I stayed up late watching a Netflix series.,I'm hella drained today 'cause I binge-watched a Netflix series all night.,feeling really tired | because | stayed up late watching | series.,hella drained | 'cause | binge-watched | series all night.,"[(1, 4), (5, 6), (7, 11), (13, 14)]","[(1, 3), (4, 5), (6, 7), (9, 12)]",4
I'm just going to grab a snack before I start my homework.,I'm just vibing with a snack before diving into my homework mix.,going to grab | I start | homework.,vibing with | diving into | homework mix.,"[(2, 5), (8, 10), (11, 12)]","[(2, 4), (7, 9), (10, 12)]",3
I'm really excited to go to the new cafe downtown tomorrow.,I'm mega hyped to hit up that new cafe downtown tomorrow!,really excited | go to the | tomorrow.,mega hyped | hit up that | tomorrow!,"[(1, 3), (4, 7), (10, 11)]","[(1, 3), (4, 7), (10, 11)]",3
"Hey, are you free to hang out tomorrow afternoon?","Yo, you got time to chill tomorrow arvo?","Hey, are | free | hang out | afternoon?","Yo, | got time | chill | arvo?","[(0, 2), (3, 4), (5, 7), (8, 9)]","[(0, 1), (2, 4), (5, 6), (7, 8)]",4
"Wow, that concert was really fun yesterday!","Yo, that show was straight fire yesterday!","Wow, | concert | really fun","Yo, | show | straight fire","[(0, 1), (2, 3), (4, 6)]","[(0, 1), (2, 3), (4, 6)]",3
I'm really tired after all that studying.,"I'm completely wiped after all that cram, fr.",really tired | studying.,"completely wiped | cram, fr.","[(1, 3), (6, 7)]","[(1, 3), (6, 8)]",2
I'm going to the mall to hang out with my friends this afternoon.,I'm hitin' up the mall to chill with my crew later.,going to | hang out | friends this afternoon.,hitin' up | chill | crew later.,"[(1, 3), (6, 8), (10, 13)]","[(1, 3), (6, 7), (9, 11)]",3
I'm just browsing my phone while waiting for my friend.,I'm just vibing on my phone while waiting for my homie.,browsing | friend.,vibing on | homie.,"[(2, 3), (9, 10)]","[(2, 4), (10, 11)]",2
I'm just going to chill at home and watch some Netflix tonight.,"I'm just finna kick back at home and binge some Netflix tonight, no cap.",going to chill | watch | tonight.,"finna kick back | binge | tonight, no cap.","[(2, 5), (8, 9), (11, 12)]","[(2, 5), (8, 9), (11, 14)]",3
I'm just really excited about the concert tonight.,I'm mad hyped for the concert tonight!,just really excited about | tonight.,mad hyped for | tonight!,"[(1, 5), (7, 8)]","[(1, 4), (6, 7)]",2
"Hey, I just finished my homework and I'm ready to relax now.","Yo, just crushed my homework, now I'm chillin' like a villain.","Hey, I | finished | homework and | ready to relax now.","Yo, | crushed | homework, now | chillin' like a villain.","[(0, 2), (3, 4), (5, 7), (8, 12)]","[(0, 1), (2, 3), (4, 6), (7, 11)]",4
"I'm really tired after working all day, so I think I'll just relax at home.","I'm totally drained after grinding all day, so I'm just gonna chill at home.",really tired | working | I think I'll | relax,totally drained | grinding | I'm | gonna chill,"[(1, 3), (4, 5), (8, 11), (12, 13)]","[(1, 3), (4, 5), (8, 9), (10, 12)]",4
"Hey, I just got back from shopping and found some really cool clothes.","Yo, just hit the mall and scored some dope fits!","Hey, I | got back from shopping | found | really cool clothes.","Yo, | hit the mall | scored | dope fits!","[(0, 2), (3, 7), (8, 9), (10, 13)]","[(0, 1), (2, 5), (6, 7), (8, 10)]",4
I'm going to grab some food before I go out with my friends.,I'm about to snag some eats before I dip with the crew.,going | grab | food | go out | my friends.,about | snag | eats | dip | the crew.,"[(1, 2), (3, 4), (5, 6), (8, 10), (11, 13)]","[(1, 2), (3, 4), (5, 6), (8, 9), (10, 12)]",5
"Hey, I’m going to grab some coffee. Do you want anything?","Yo, I’m about to snag some java. You tryna peep a sip?","Hey, | going | grab | coffee. Do you want anything?","Yo, | about | snag | java. You tryna peep a sip?","[(0, 1), (2, 3), (4, 5), (6, 11)]","[(0, 1), (2, 3), (4, 5), (6, 12)]",4
I'm just grabbing a coffee before heading to work.,Just vibing with a coffee before I bounce to work. 🚶‍♀️☕,I'm just grabbing | heading,Just vibing with | I bounce | 🚶‍♀️☕,"[(0, 3), (6, 7), (9, 9)]","[(0, 3), (6, 8), (10, 11)]",2
"Hey, do you want to go grab some food later?","Yo, wanna yeet for some chow later? 🔥","Hey, do you want to go grab | food","Yo, wanna yeet for | chow | 🔥","[(0, 7), (8, 9), (10, 10)]","[(0, 4), (5, 6), (7, 8)]",2
I'm really tired after this long day.,"I'm totally wiped after this mega long day, lol.",really tired | day.,"totally wiped | mega | day, lol.","[(1, 3), (5, 5), (6, 7)]","[(1, 3), (5, 6), (7, 9)]",2
I'm going to grab a quick snack before heading out.,Gonna snag a quick munch before I dip out.,I'm going to grab | snack | heading,Gonna snag | munch | I dip,"[(0, 4), (6, 7), (8, 9)]","[(0, 2), (4, 5), (6, 8)]",3
"Hey, I'm going to grab some coffee before class.","Yo, I'm about to snag some brew before class kicks off.","Hey, | going | grab | coffee | class.","Yo, | about | snag | brew | class kicks off.","[(0, 1), (2, 3), (4, 5), (6, 7), (8, 9)]","[(0, 1), (2, 3), (4, 5), (6, 7), (8, 11)]",5
I'm just really tired today and I can't focus.,"I'm mad exhausted today and I can't even focus, lol.",just really tired | focus.,"mad exhausted | even focus, lol.","[(1, 4), (8, 9)]","[(1, 3), (7, 10)]",2
"Yeah, I think I'm going to stay in tonight and relax.","Fr, I’m just chillin’ at home tonight, no cap.","Yeah, I think I'm going to stay in tonight and relax.","Fr, I’m just chillin’ at home tonight, no cap.","[(0, 11)]","[(0, 9)]",1
I'm really excited about the new movie that just came out.,I'm so hyped for the new flick just dropped!,really excited about | movie that | came out.,so hyped for | flick | dropped!,"[(1, 4), (6, 8), (9, 11)]","[(1, 4), (6, 7), (8, 9)]",3
I'm so tired because I didn't get enough sleep last night.,I'm vibing so busted 'cause I barely slept last night.,tired because | didn't get enough sleep,vibing | busted 'cause | barely slept,"[(1, 1), (2, 4), (5, 9)]","[(1, 2), (3, 5), (6, 8)]",2
"Hey, I'm feeling a bit tired today.","Yo, I'm kinda vibing low today.","Hey, | feeling a bit tired","Yo, | kinda vibing low","[(0, 1), (2, 6)]","[(0, 1), (2, 5)]",2
I'm just really tired because I stayed up late last night.,I'm mad exhausted 'cause I didn’t hit the hay till super late last night.,just really tired because | stayed up,mad exhausted 'cause | didn’t hit the hay till super,"[(1, 5), (6, 8)]","[(1, 4), (5, 11)]",2
I'm really tired right now and just want to relax at home.,I'm totally drained rn and just wanna chill at my place.,really tired right now | want to relax | home.,totally drained rn | wanna chill | my place.,"[(1, 5), (7, 10), (11, 12)]","[(1, 4), (6, 8), (9, 11)]",3
"Hey, I really like your outfit today!","Yo, your drip’s looking fire today!","Hey, I really like | outfit","Yo, | drip’s looking fire","[(0, 4), (5, 6)]","[(0, 1), (2, 5)]",2
I can't believe how nice the weather is today.,"No cap, the weather's mad chill today!",I can't believe how nice | weather is today.,"No cap, | weather's mad chill today!","[(0, 5), (6, 9)]","[(0, 2), (3, 7)]",2
"Hey, I really like that new song you played earlier.","Yo, that new track you dropped earlier is fire, no cap!","Hey, I really like | song | played earlier.","Yo, | track | dropped earlier is fire, no cap!","[(0, 4), (6, 7), (8, 10)]","[(0, 1), (3, 4), (5, 11)]",3
"Hey, I saw my friend at the mall today.","Yo, I saw my homie at the mall today.","Hey, | friend","Yo, | homie","[(0, 1), (4, 5)]","[(0, 1), (4, 5)]",2
I'm really tired after running errands all day.,"I'm wiped after hustle all day, fr fr.",really tired | running errands | day.,"wiped | hustle | day, fr fr.","[(1, 3), (4, 6), (7, 8)]","[(1, 2), (3, 4), (5, 8)]",3
"Hey, did you see the new trailer for the movie?","Yo, have you peeped the new trailer for the flick?","Hey, did | see | movie?","Yo, have | peeped | flick?","[(0, 2), (3, 4), (9, 10)]","[(0, 2), (3, 4), (9, 10)]",3
I'm feeling really tired after this long day.,I'm hella exhausted after this whole vibe of a day.,feeling really tired | long,hella exhausted | whole vibe of a,"[(1, 4), (6, 7)]","[(1, 3), (5, 9)]",2
I'm just about to go get some coffee. Want to join?,"I'm finna grab some coffee, yo. You tryna slide?",just about to go get | coffee. Want to join?,"finna grab | coffee, yo. You tryna slide?","[(1, 6), (7, 11)]","[(1, 3), (4, 9)]",2
"I'm really hungry, want to grab some lunch?","I'm mad hungry, let's hit up some lunch fam!",really | want to grab | lunch?,mad | let's hit up | lunch fam!,"[(1, 2), (3, 6), (7, 8)]","[(1, 2), (3, 6), (7, 9)]",3
"Hey, did you watch the new episode of the show last night?","Yo, did you catch the new ep of the show yesterday? It's lit!","Hey, | watch | episode | last night?","Yo, | catch | ep | yesterday? It's lit!","[(0, 1), (3, 4), (6, 7), (10, 12)]","[(0, 1), (3, 4), (6, 7), (10, 13)]",4
I'll catch up with you later when I finish my homework.,"Yo, I’ll dip soon after I finish my hw, ttyl!",I'll catch up with you later when | homework.,"Yo, I’ll dip soon after | hw, ttyl!","[(0, 7), (10, 11)]","[(0, 5), (8, 10)]",2
I'm really tired after such a long day at school.,"Bruh, I’m so drained after this crazy long school day.",I'm really tired | such a | day at school.,"Bruh, I’m so drained | this crazy | school day.","[(0, 3), (4, 6), (7, 10)]","[(0, 4), (5, 7), (8, 10)]",3
"Hey, I just finished my homework and I'm all set for the weekend.","Yo, just wrapped up my homework, and I'm chillin’ for the weekend!","Hey, I | finished | homework | all set | weekend.","Yo, | wrapped up | homework, | chillin’ | weekend!","[(0, 2), (3, 4), (5, 6), (8, 10), (12, 13)]","[(0, 1), (2, 4), (5, 6), (8, 9), (11, 12)]",5
Did you finish your homework yet?,Have you peeped your homework yet?,Did | finish,Have | peeped,"[(0, 1), (2, 3)]","[(0, 1), (2, 3)]",2
I really like that new song you showed me last night.,"That new banger you played last night is fire, I’m obsessed.",I really like that | song | showed me | night.,"That | banger | played | night is fire, I’m obsessed.","[(0, 4), (5, 6), (7, 9), (10, 11)]","[(0, 1), (2, 3), (4, 5), (6, 11)]",4
I'm just really tired today after the long day at work.,"I'm so drained after this long grind at work, fr.",just really tired today | the | day | work.,"so drained | this | grind | work, fr.","[(1, 5), (6, 7), (8, 9), (10, 11)]","[(1, 3), (4, 5), (6, 7), (8, 10)]",4
I'm going to grab a coffee before class.,"I'm finna peep a coffee before class, fr.",going to grab | class.,"finna peep | class, fr.","[(1, 4), (7, 8)]","[(1, 3), (6, 8)]",2
"Hey, I just finished my homework and I might go hang out with my friends later.","Yo, just wrapped my homework and might dip to chill with my squad later.","Hey, I | finished | I | go hang out | friends","Yo, | wrapped | dip to chill | squad","[(0, 2), (3, 4), (7, 8), (9, 12), (14, 15)]","[(0, 1), (2, 3), (6, 6), (7, 10), (12, 13)]",5
"I'm just hanging out at the park, enjoying the sun.","I'm just vibing at the park, soaking up the sun.",hanging out | enjoying,vibing | soaking up,"[(2, 4), (7, 8)]","[(2, 3), (6, 8)]",2
I'm really excited for the party tonight!,I'm super hyped for the party tonight!,really excited,super hyped,"[(1, 3)]","[(1, 3)]",1
