normal,paraphrase,literal_segments,paraphrase_segments,literal_positions,paraphrase_positions,num_differences
"Cambridge was granted its city charter in 1951 in recognition of its history , administrative importance , and economic success .","In recognition of its history , its administrative importance and its economic success , Cambridge was granted city rights in 1951 .","Cambridge was granted its city charter in 1951 in | ,","In | its | its | , Cambridge was granted city rights in 1951","[(0, 9), (16, 17)]","[(0, 1), (6, 7), (10, 11), (13, 21)]",4
"If the selected assay varies , the selective pressure changes on the cells and can therefore change what properties are used in the transformed cells .","Varying the assay selected , changes the selective pressure on the cells and therefore can change what properties are used in the transformed cells .",If | selected | varies | changes | can,Varying | selected | changes | can,"[(0, 1), (2, 3), (4, 5), (9, 10), (14, 15)]","[(0, 1), (3, 4), (5, 6), (14, 15)]",4
It was Seymour and Lowell Worley of the local office of Columbia who persuaded Kessler to have a test record made of Ray .,It was Seymour and Lowell Worley of the local office of Colombia who persuaded Kessler to have a Ray test record .,Columbia | made of Ray,Colombia | Ray,"[(11, 12), (20, 23)]","[(11, 12), (18, 19)]",2
"The album was recorded at Brian Elliot studios in North Hollywood , California , with engineer David Hines and co-producer Jay Lansford .","The album was recorded in Brian Elliot Studios in North Hollywood , California , with the engineer David Hines and co-producer Jay Lansford .",at | studios,in | Studios | the,"[(4, 5), (7, 8)]","[(4, 5), (7, 8), (15, 16)]",3
"In 1918 , the administrative representation of the parliamentary county of Dublin was raised from two to four divisions .",In 1918 the administrative representation of the parliamentary county of Dublin was increased from two divisions to four .,", | raised | divisions",increased | divisions,"[(2, 3), (13, 14), (18, 19)]","[(12, 13), (15, 16)]",2
"The Aube has 365 historical monuments of which 144 are classified , and 221 are enrolled .","The Aube has 365 historical monuments , 144 of which are classified and 221 are registered .","144 | , | enrolled",", 144 | registered","[(8, 9), (11, 12), (15, 16)]","[(6, 8), (15, 16)]",2
"María Rosario Santos y Navarro was born as the second of six children of Winifredo Santos , a doctor , and Nora Navarro .","María Rosario Santos y Navarro was born the second of six children of Winifredo Santos , a physician , and Nora Navarro .",as | doctor,physician,"[(7, 8), (18, 19)]","[(17, 18)]",1
Conditional compilation options exist to remove the requirement for a 64-bit capable compiler as many compilers for microcontrollers and DSPs do not support 64-bit arithmetic .,"There are conditional compilation options to remove the requirement for a 64-bit capable compiler , since many compilers do not support 64-bit arithmetic for microcontrollers and DSPs .",Conditional | exist | as | for microcontrollers and DSPs,"There are conditional | , since | for microcontrollers and DSPs","[(0, 1), (3, 4), (13, 14), (16, 20)]","[(0, 3), (14, 16), (23, 27)]",3
"In the variation case , eigenvalues can be given a Hermitian characterization .","In the variational case , eigenvalues can be given a Hermitian characterization .",variation,variational,"[(2, 3)]","[(2, 3)]",1
"During the early years of the HUAC hearings , Howe was blacklisted , and moved to Mexico City to protect the `` graylisted '' Babb from further harassment .","During the early years of the HUAC hearings , Howe was blacklisted and moved to Mexico City to protect the `` grey listed '' Babb from further harassment .",", | graylisted",grey listed,"[(12, 13), (22, 23)]","[(21, 23)]",1
"The Chief Justice was the Chief Justice of the High Commission ( Basutoland , Bechuanaland Protectorate , Swaziland ) , from 1951 the Chief Justices :","The Chief Justice was the Chief Justice of the High Commission territories ( Swaziland , Bechuanaland Protectorate , Basutoland ) , and from 1951 onwards were Chief Justices :",Basutoland | Swaziland | the,territories | Swaziland | Basutoland | and | onwards were,"[(12, 13), (17, 18), (22, 23)]","[(11, 12), (13, 14), (18, 19), (21, 22), (24, 26)]",5
"In the meantime , Mikka is confronted by his former crew : Nick , Vector , Sib and Pup .","In the meantime , Mikka was confronted by his former crew : Nick , Vector , Sib , and Pup .",is,"was | ,","[(5, 6)]","[(5, 6), (17, 18)]",2
He has described the `` Deep State '' as '' Shadow Government `` and the Deep State Swamp of Obama Holdovers and DC Lifers '' .,He has described the `` deep state '' as a `` Shadow Government '' and `` Deep state swamp of Obama holdovers and DC lifers '' .,Deep State | '' | `` | the | State Swamp | Holdovers | Lifers,deep state | a `` | '' | `` | state swamp | holdovers | lifers,"[(5, 7), (9, 10), (12, 13), (14, 15), (16, 18), (20, 21), (23, 24)]","[(5, 7), (9, 11), (13, 14), (15, 16), (17, 19), (21, 22), (24, 25)]",7
"Hitler 's group consisted only of 800 SA - men , while Pittinger was present with 30,000 troops .","Hitler 's group consisted only in 800 SA men , while Pittinger was present with 30,000 .",of | - | troops,in,"[(5, 6), (8, 9), (17, 18)]","[(5, 6)]",1
Such a distorted peptide or `` modified key '' becomes an inhibitor candidate against HIV protease automatically .,"Such a distorted peptide , or `` modified key `` , will automatically become an inhibitor candidate against HIV protease .",'' becomes | automatically,", | `` , will automatically become","[(8, 10), (16, 17)]","[(4, 5), (9, 14)]",2
"The 40 Watt Uptown was large and professional , and it was a major stop for underground independent music acts in the 1980s .","The 40 Watt Uptown was large and professional , and it was a major stop for independent underground music actors in the 1980s .",underground | acts,underground | actors,"[(16, 17), (19, 20)]","[(17, 18), (19, 20)]",2
William James was a close friend and correspondent of Pauline Goldmark .,A close friend and correspondent of Pauline Goldmark was William William James .,William James was a,A | was William William James,"[(0, 4)]","[(0, 1), (8, 12)]",2
"If he saw two white hats , he could conclude that he was wearing a black hat .","If he saw two white hats , he could have deduced that he was wearing a black hat .",conclude,have deduced,"[(9, 10)]","[(9, 11)]",1
"It was first completed successfully by a 12-year-old American , Tom Schaar , on March 26 , 2012 .","On 26 March 2012 , it was first successfully concluded by a 12-year-old American , Tom Schaar .","It | completed | , on March 26 , 2012","On 26 March 2012 , it | concluded","[(0, 1), (3, 4), (12, 18)]","[(0, 6), (9, 10)]",2
"Howes married three times in his life : in 1923 with Lillian Pechin , in 1932 with Catherine Tabor and in 1937 with Mary Donovan Howard .","Howes married three times in his life : to Lillian Pechin in 1923 , Catherine Tabor in 1932 , and Mary Donovan Howard in 1937 .","in 1923 with | , | 1932 with | and | 1937 with","to | 1923 , | 1932 , and | in 1937","[(8, 11), (13, 14), (15, 17), (19, 20), (21, 23)]","[(8, 9), (12, 14), (17, 20), (23, 25)]",4
"Bandra is a neighborhood located in western Mumbai in the state of Maharashtra , India Many personalities active in Bollywood , in cricket and politics , live in Bandra .","Bandra is a neighborhood located in western Mumbai in the state of Maharashtra , India . Many personalities active in Bollywood , cricket and politics reside in Bandra .","in | , live",. | reside,"[(21, 22), (25, 27)]","[(15, 16), (25, 26)]",2
John Hale was played by Xander Berkeley ( as magistrate hale ) in the 2014 TV series '' Salem `` .,John Hale is played by Xander Berkeley ( as Magistrate Hale ) in the 2014 TV series `` Salem '' .,was | magistrate hale | '' Salem,is | Magistrate Hale | Salem '',"[(2, 3), (9, 11), (17, 19)]","[(2, 3), (9, 11), (18, 20)]",3
"A tribute to Jamie Parker and Claire Martin . American actor Seth MacFarlane was the lead singer , with Frank Sinatra .","A tribute to Jamie Parker and Claire Martin , the American actor Seth MacFarlane was the singer , Frank Sinatra .",. | lead | with,", the","[(8, 9), (15, 16), (18, 19)]","[(8, 10)]",1
"Billboard wrote about the song : `` You know the beat , now catch the groove .","About the song Billboard wrote : `` You know the beat , now you catch the groove .",Billboard wrote about,About | Billboard wrote | you,"[(0, 3)]","[(0, 1), (3, 5), (13, 14)]",3
"In return , Grimoald gave him his daughter to marriage and granted him the duchy of Spoleto after the death of Atto .","In return , Grimoald granted him his daughter in marriage and gave him the duchy of Spoleto following the death of Atto .",gave | to | granted | after,granted | in | gave | following,"[(4, 5), (8, 9), (11, 12), (17, 18)]","[(4, 5), (8, 9), (11, 12), (17, 18)]",4
"As with most languages , written language tends to use a more formal register than spoken language .","As with most languages , the written language tends to use a more formal register than the language spoken .",spoken,the | the | spoken,"[(15, 16)]","[(5, 6), (16, 17), (18, 19)]",3
"The highest plasma concentrations are reached after two hours when taking them with fatty food , and the area under the curve is increased by 40 % .","When taken with fatty food , highest plasma concentrations are reached after two hours , and the area under the curve is increased by 40 % .",The | when taking them with fatty food,"When taken with fatty food ,","[(0, 1), (9, 15)]","[(0, 6)]",1
"In the 2015 regional election , after Tosi was sidelined by the federal party , Gidoni was elected to the Regional Council of Veneto in the province of Belluno .","In the 2015 regional elections , after Tosi was excluded by the Federal Party , Gidoni was elected to the Veneto Regional Council in the province of Belluno .",election | sidelined | federal party | of Veneto,elections | excluded | Federal Party | Veneto,"[(4, 5), (9, 10), (12, 14), (22, 24)]","[(4, 5), (9, 10), (12, 14), (20, 21)]",4
The title track was a single-five top on the Texas Music chart in May 2013 .,The title track was a single - five - top in May 2013 on the Texas Music - Chart .,single-five | chart in May 2013,single - five - | in May 2013 | - Chart,"[(5, 6), (11, 15)]","[(5, 9), (10, 13), (17, 19)]",3
Chabrian Jattan is a village in Mirpur Tehsil by Azad Kashmir in the Mirpur district of Pakistan .,"Chabrian Jattan is a village in the Mirpur Tehsil of Azad Kashmir of Mirpur District , Pakistan .",Mirpur Tehsil by Azad Kashmir in | district,"Tehsil | Azad Kashmir of Mirpur District ,","[(6, 12), (14, 15)]","[(8, 9), (10, 16)]",2
"Szabo 's method of sybilizing protection , however , was vulnerable to double attacks .","However , Szabo 's method of Sybil-spending protection was vulnerable to double attacks .","sybilizing | , however ,","However , | Sybil-spending","[(4, 5), (6, 9)]","[(0, 2), (6, 7)]",2
Trenčianske Jastrabie is a village and municipality in the district of Trenčín in the region of Trenčín in northwestern Slovakia .,Trenčianske Jastrabie is a village and municipality in Trenčín District in the Trenčín Region of northwestern Slovakia .,the district of | region of | in,District | Region of,"[(8, 11), (14, 16), (17, 18)]","[(9, 10), (13, 15)]",2
"Jérémy Chardy won the title defeating Rubén Ramírez Hidalgo in the final 6 -- 1 , 6 -- 4 .","Jérémy Chardy won the title and struck Rubén Ramírez Hidalgo in the Final 6 -- 1 , 6 -- 4 .",defeating | final,and struck | Final,"[(5, 6), (11, 12)]","[(5, 7), (12, 13)]",2
This can be generalized by transposing the complete 6 × 6 susceptibility tensor to bi-anisotropic materials .,This can be further generalized to bi-anisotropic materials by transposing the full 6 × 6 susceptibility tensor .,complete | to bi-anisotropic materials,further | to bi-anisotropic materials | full,"[(7, 8), (13, 16)]","[(3, 4), (5, 8), (11, 12)]",3
"Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions , a 36 cell matrix is defined","Needs are also developed according to the existential categories of being , having , doing and interacting , and from these dimensions a 36 - cells - matrix is defined .",", | cell",- cells - | .,"[(22, 23), (25, 26)]","[(24, 27), (30, 31)]",2
Dielectric elastomers ( DEs ) are smart material systems which produce large strains .,Dielectric elastomers ( DEs ) are smart material systems that produce large strains .,which,that,"[(9, 10)]","[(9, 10)]",1
"The former AFL players Tarkyn Lockyer ( Collingwood ) and Ryan Brabazon ( Sydney ) , Jason Mandzij ( Gold Coast ) , started their football careers and played for the Kangas .","Former AFL players Tarkyn Lockyer ( Collingwood ) and Ryan Brabazon ( Sydney ) , Jason Mandzij ( Gold Coast ) started their football careers playing for the Kangas .","The former | , | and played",Former | playing,"[(0, 2), (22, 23), (27, 29)]","[(0, 1), (25, 26)]",2
He joined the Canadian Fencibles in Scotland in 1803 and joined them in 1805 to Quebec .,He joined the Canadian Fencibles in Scotland in 1803 and came to Quebec with them in 1805 .,joined | to Quebec,came to Quebec with,"[(10, 11), (14, 16)]","[(10, 14)]",1
"InFocus M810 is a smartphone distributed by InFocus and manufactured by Foxconn . It was released on July 31 , 2014 .","InFocus M810 is a smartphone marketed by InFocus and manufactured by Foxconn . It was released on July 31 , 2014 .",distributed,marketed,"[(5, 6)]","[(5, 6)]",1
"Military applications , in addition to the generic information described above , also include weapon system and sensor data such as :","In addition to the generic information described above , military applications include weapons system and sensor data such as :","Military applications , in | also | weapon",In | military applications | weapons,"[(0, 4), (12, 13), (14, 15)]","[(0, 1), (9, 11), (12, 13)]",3
"In Europe , he appeared at Le Lido in Paris and sang with Betty Grable in the London West End musical `` Belle Starr '' .",In Europe he appeared in Le Lido in Paris and sang with Betty Grable in the London West End Musical `` Belle Starr '' .,", | at | musical",in | Musical,"[(2, 3), (5, 6), (20, 21)]","[(4, 5), (19, 20)]",2
"Another Georgian Partisan of Soviet origin , David Tatuashvili , described the funeral as follows :","David Tatuashvili , another Georgian partisan of Soviet origin , described the funeral as follows :","Another | Partisan | , David Tatuashvili","David Tatuashvili , another | partisan","[(0, 1), (2, 3), (6, 9)]","[(0, 4), (5, 6)]",2
Dracco Company Ltd. with Apex Marketing then created the basic version of the game and established the online universe of Chaotic .,"With Apex Marketing , Dracco Company Ltd. created the basic version of the game and established the online universe of Chaotic .",with Apex Marketing then,"With Apex Marketing ,","[(3, 7)]","[(0, 4)]",1
`` Sketch '' was the last album recorded with bassist Nina Souto and drummer Arturo Garcia .,The last album was recorded with bassist Nina Souto and drummer Arturo Garcia .,`` Sketch '' was the,The | was,"[(0, 5)]","[(0, 1), (3, 4)]",2
mcen 092.2 gathered here have spoken you very clearly and you have not accused .,Here gathers mcen 092.2 you have spoken very clearly and you have not accused .,gathered here | you,Here gathers | you,"[(2, 4), (6, 7)]","[(0, 2), (4, 5)]",2
"Initials , when used , can be placed either before or after their first name .",Initials can be placed either before or after their first name when they are used .,", when used ,",when they are used,"[(1, 5)]","[(11, 15)]",1
In 1987 Ruhollah Khomeini was appointed by Fallahian as chief prosecutor of the Special Court for the Clergy and led the trial against Mehdi Hashemi .,Ruhollah Khomeini was appointed Chief Public Prosecutor of the Special Court for the Clergy in 1987 by Fallahian and led the trial of Mehdi Hashemi .,In 1987 | by Fallahian as chief prosecutor | against,Chief Public Prosecutor | in 1987 by Fallahian | of,"[(0, 2), (6, 11), (22, 23)]","[(4, 7), (14, 18), (22, 23)]",3
"When water and sewerage companies were privatised in 1989 in England and Wales , these services remained public in Northern Ireland and Scotland .","When water and sewer companies were privatised in England and Wales in 1989 , these services remained public in Northern Ireland and in Scotland .",sewerage | 1989 in,sewer | in 1989 | in,"[(3, 4), (8, 10)]","[(3, 4), (11, 13), (22, 23)]",3
She is the wife of Tania Cagnotto and mother of Giorgio Cagnotto .,She is a wife of Tania Cagnotto and mother of Giorgio Cagnotto .,the,a,"[(2, 3)]","[(2, 3)]",1
A railway station of the same name on the Moscow -- Minsk railway is located in Golitsyno .,In Golitsyno there is a railway station of the same name on the Moscow Railway Minsk .,A | -- | railway is located in Golitsyno,In Golitsyno there is a | Railway,"[(0, 1), (10, 11), (12, 17)]","[(0, 5), (14, 15)]",2
The group was founded in Las Vegas and then relocated to Los Angeles .,"The group was founded in Las Vegas , and later relocated to Los Angeles .",then,", | later","[(8, 9)]","[(7, 8), (9, 10)]",2
This is the Zomi traditional dresses . The male dress are `` Puan Laisan '' and the female dress are `` Puandum '',"This is the traditional dress of Zomi , the male clothes are `` Puan Laisan '' and the female dresses are `` Puandum '' .",Zomi | dresses . The male | dress,"of Zomi , the male clothes | dresses | .","[(3, 4), (5, 9), (18, 19)]","[(5, 11), (19, 20), (24, 25)]",3
The Văcăria River is a tributary of the Pilugul River in Romania .,The river Văcăria is a tributary of the River Pilugul in Romania .,River | Pilugul,river | Pilugul,"[(2, 3), (8, 9)]","[(1, 2), (9, 10)]",2
"SAfm was the SABC 's first radio station , and the country 's first public radio station .",SAfm was the first radio station of the SABC and the country 's first public radio station .,"SABC 's | ,",of the SABC,"[(3, 5), (8, 9)]","[(6, 9)]",1
Although Andrew Anthony in `` The Observer '' was more critical and A . A. Gill of `` The Sunday Times '' was unimpressed .,Although Andrew Anthony in `` The Observer '' was more critical and A.A. Gill of `` The Sunday Times '' was unimpressed .,A . A.,A.A.,"[(12, 15)]","[(12, 13)]",1
"This tour was made two weeks after the Australian tour of New Zealand , the Wallabies lost the only test with the All Blacks .",This tour was made two weeks after the Australia tour of New Zealand . The Wallabies lost the only test with the All Blacks .,"Australian | , the",Australia | . The,"[(8, 9), (13, 15)]","[(8, 9), (13, 15)]",2
"The eastern province comprises the former provinces of Kibungo and Umutara , the majority of Kigali Rural and part of Byumba .","The Eastern Province comprises the former provinces of Kibungo and Umutara , most of Kigali Rural , and part of Byumba .",eastern province | the majority,"Eastern Province | most | ,","[(1, 3), (12, 14)]","[(1, 3), (12, 13), (16, 17)]",3
"Antillophos bahamensis is a sea snail species , a true gastropod mollusk in the Buccinidae family , the whelks marine .","Antillophos bahamensis is a species of sea snail , a true gastropod mollusk in the family Buccinidae , the marine whelks .",species | Buccinidae | whelks,species of | Buccinidae | whelks,"[(6, 7), (14, 15), (18, 19)]","[(4, 6), (16, 17), (20, 21)]",3
This name change meant that the Nazi Party would be `` placed under '' the NSRL .,This name change meant that the Nazi party would be “ placed ” under the NSRL .,Party | `` | '',party | “ | ”,"[(7, 8), (10, 11), (13, 14)]","[(7, 8), (10, 11), (12, 13)]",3
"He was elected on the American ticket to the 29th United States Congress , which operates from March 4 , 1845 to March 3 , 1847 .","He was elected on the American ticket to the 29th United States Congress , holding office from March 4 , 1845 , to March 3 , 1847 .",which operates,"holding office | ,","[(14, 16)]","[(14, 16), (21, 22)]",2
"Pixar also studied the Disney Cruise Line and visited Las Vegas , which was helpful in understanding artificial lighting .","Pixar also studied the Disney Cruise Line and visited Las Vegas , which was helpful for understanding artificial lighting .",in,for,"[(15, 16)]","[(15, 16)]",1
"In both cases he had been chosen as critic by Eugenio Scalfari , first for the daily and then for the weekly edition .","In both cases , he had been selected by Eugenio Scalfari as a critic , first for the daily newspaper and then for the weekly edition .",chosen as critic,", | selected | as a critic | newspaper","[(6, 9)]","[(3, 4), (7, 8), (11, 14), (19, 20)]",4
"Rebecca Guynn was born in St. Louis , Missouri , the son of Baptist priest George L. White Sr. and his wife White .","Elizabeth Rebecca Guynn was born in St. Louis , Missouri , the son of a Baptist minister , George L. White Sr. and his wife , White .",priest,"Elizabeth | a | minister , | ,","[(14, 15)]","[(0, 1), (14, 15), (16, 18), (25, 26)]",4
"After `` The Kids '' were recorded with drummer Nick Van Gelder , all `` Spcae cowboy '' tracks except `` The Kids '' was re-recorded with Derrick .","After `` The Kids '' was recorded with the drummer Nick Van Gelder , all '' Spcae cowboy `` tracks were recorded with Derrick except '' The Kids '' .",were | `` | '' tracks except | was re-recorded with Derrick,was | the | '' | tracks were recorded with Derrick except '',"[(5, 6), (14, 15), (17, 20), (24, 28)]","[(5, 6), (8, 9), (15, 16), (19, 26)]",4
"He was sent to Rangoon , Burma ( now Yangon , Myanmar ) and taught in Thailand for further studies .","He was sent to Rangoon , Burma ( now Yangon , Myanmar ) , for further study and then taught in Thailand .",for further studies,", for further study | then","[(17, 20)]","[(13, 17), (18, 19)]",2
"After the death of her first husband , Katharina Dalton remarried Tom Dalton , who passed away in 1992 .","After the death of her first husband , Katharina Dalton married Tom Dalton , who passed away in 1992 .",remarried,married,"[(10, 11)]","[(10, 11)]",1
Ottawa County is a civil community of Park Township in the U.S. state of Michigan .,Ottawa County is a civil township of Park Township in the U.S. state of Michigan .,community,township,"[(5, 6)]","[(5, 6)]",1
In 1489 Juan Ruiz de Medina was confirmed by the King of Spain and elected by Pope Innocent VIII to bishop of Astorga .,"In 1489 , Juan Ruiz de Medina was confirmed by the King of Spain and selected by Pope Innocent VIII as Bishop of Astorga .",elected | to bishop,", | selected | as Bishop","[(14, 15), (19, 21)]","[(2, 3), (15, 16), (20, 22)]",3
The river Pălăoaia is a tributary of the Muereasca River in Romania .,The Pălăoaia River is a tributary of the Muereasca River in Romania .,river,River,"[(1, 2)]","[(2, 3)]",1
Major League Baseball 2K7 ( or MLB 2K7 ) is a Major League Baseball licensed baseball simulation video game developed by 2K Sports and published by Kush Games .,Major League Baseball 2K7 ( or MLB 2K7 ) is a Major League Baseball Licensed Baseball - Simulation Videogame of 2K Sports developed and published by Kush Games .,licensed baseball simulation video game developed by,Licensed Baseball - Simulation Videogame of | developed,"[(14, 21)]","[(14, 20), (22, 23)]",2
He was born in Québec around 1760 and settled in Detroit in 1782 ( then a part of Scotland ) .,He was born in Quebec around 1760 and settled in Detroit ( then part of Scotland ) in 1782 .,Québec | in 1782 | a,Quebec | in 1782,"[(4, 5), (11, 13), (15, 16)]","[(4, 5), (17, 19)]",2
"In 1920 he represented Italy at the Oceanographic Congress in Cairo , and in 1924 he represented the geographical society at the International Geographical Congress in Madrid .","In 1920 , he represented Italy at the Oceanographic Congress in Cairo , and in 1924 represented the geographical society at the International Geographical Congress in Madrid .",he,",","[(15, 16)]","[(2, 3)]",1
The Tătarca River is a tributary of the Cârlibaba River in Romania .,Tătarca river is a tributary of the Cârlibaba River in Romania .,The | River,river,"[(0, 1), (2, 3)]","[(1, 2)]",1
Colleen gets a job at the Diner where she becomes good friends with Leah Poulos ( Ada Nicodemou ) .,"Colleen gets a job in the diner , where she becomes good friends with Leah Poulos ( Ada Nicodemou ) .",at | Diner,"in | diner ,","[(4, 5), (6, 7)]","[(4, 5), (6, 8)]",2
"It began on Social Esportiva Vitória , then went to the Fabriciano and was borrowed to various clubs and other Ceará before returning to Ceará in mid 2010 .","It began on Social Esportiva Vitória , then went to the Fabriciano and was loaned to various clubs and other Ceará , before returning in mid- 2010 to Ceará .",borrowed | in mid 2010,"loaned | , | in mid- 2010","[(14, 15), (25, 28)]","[(14, 15), (21, 22), (24, 27)]",3
The season 2009-2010 National Hockey League was the 17th season of the operation ( 16th season of the game ) for the Anaheim Ducks franchise .,The 2009 - 2010 National Hockey League season was the 17th season of operation ( 16th season of play ) for the Anaheim Ducks franchise .,season 2009-2010 | the | the game,2009 - 2010 | season | play,"[(1, 3), (11, 12), (17, 19)]","[(1, 4), (7, 8), (18, 19)]",3
"One of these , Micheál Martin , said Fianna Fáil leader Shane Ross had contacted them the previous day and that they would meet the following week .","One of them , Micheál Martin , said that Fianna Fáil - leader Shane Ross had contacted her the previous day and that she would meet the following week .",these | them | they,them | that | - | her | she,"[(2, 3), (15, 16), (21, 22)]","[(2, 3), (8, 9), (11, 12), (17, 18), (23, 24)]",5
The second method is written when the number of elements in each row is the same and known at the time the program is used .,The second method is written when the number of elements in each row is the same and is known at the time of program use .,the | is used,is | of | use,"[(21, 22), (23, 25)]","[(17, 18), (22, 23), (24, 25)]",3
"In 1951 , the Cogioba Council , headquartered in Bowling Green merged with the West Kentucky Area Council to form the Audubon Council serving a good third of Kentucky .","In 1951 , the Cogioba Council , based in Bowling Green , merged with the West Kentucky Area Council to form the Audubon Council , which provides a good third of Kentucky .",headquartered | serving,"based | , | , which provides","[(7, 8), (23, 24)]","[(7, 8), (11, 12), (24, 27)]",3
It is also convenient to sometimes define a purely covariant version by :,It is also convenient to sometimes define the purely covariant version by,a | :,the,"[(7, 8), (12, 13)]","[(7, 8)]",1
"The field also included 1928 Olympian ( and 1932 Olympic champion ) John Anderson of Cornell , and future world record holder Paul Jessup of Washington .",The field also included Olympian ( and in 1932 Olympic champion ) John Anderson of Cornell and future world record player Paul Jessup of Washington in 1928 .,"1928 | , | holder",in | player | in 1928,"[(4, 5), (16, 17), (21, 22)]","[(7, 8), (20, 21), (25, 27)]",3
"In 2001 in Zagreb , Croatia he founded the publishing house and graphic workshop `` Petikat '' . Most recently he worked on animated films at Zagreb Film .","In 2001 he founded in Zagreb , Croatia , the publishing house and the graphic workshop `` Petikat '' , most recently he worked on animation films at the Zagreb film .",he founded | . Most | animated | Film,"he founded | , | the | , most | animation | the | film","[(6, 8), (17, 19), (23, 24), (27, 28)]","[(2, 4), (8, 9), (13, 14), (19, 21), (25, 26), (28, 29), (30, 31)]",7
"ABC Books has released seven paperbacks - novels , each based on a particular episode and from the perspective of a single character .","ABC Books has released seven paperback novels , each based on a particular episode and from the perspective of a single character .",paperbacks -,paperback,"[(5, 7)]","[(5, 6)]",1
"96 % of people spoke at home only English , the second most common languages were 1.5 % Samoan , 1 % Vietnamese .","96 % of people spoke only English at home ; the next most common languages were 1.5 % Samoan , 1 % Vietnamese .","at home | , | second",at home ; | next,"[(5, 7), (9, 10), (11, 12)]","[(7, 10), (11, 12)]",2
Seleucus was a wealthy Christian Roman senator of Greek origin who lived in the first half of the 4th century and the second half of the fifth century .,Seleucus was a wealthy Christian Roman Senator of Greek descent who lived in the first half of the 4th century and second half of the 5th century .,senator | origin | the | fifth,Senator | descent | 5th,"[(6, 7), (9, 10), (21, 22), (26, 27)]","[(6, 7), (9, 10), (25, 26)]",3
"Yves Préfontaine ( born February 1 , 1937 in Quebec ) is a Canadian writer in Montreal , Quebec , Canada .","Yves Préfontaine ( born 1 February , 1937 , in Quebec ) is a Canadian writer based in Montreal , Quebec .","February | , Canada","February | , | based","[(4, 5), (19, 21)]","[(5, 6), (8, 9), (16, 17)]",3
`` Sketch '' was the last album recorded with bassist Arturo Garcia and drummer Nina Souto .,The last album was recorded with bassist Arturo Garcia and drummer Nina Souto .,`` Sketch '' was the,The | was,"[(0, 5)]","[(0, 1), (3, 4)]",2
"Finsch 's monitor was only known from Blanche Bay , Ralum , and Massawa in New Britain .","Finsch 's monitor was only known by Blanche Bay , Ralum and Massawa in New Britain .","from | ,",by,"[(6, 7), (11, 12)]","[(6, 7)]",1
He originally played with HC Spartak Moscow in the KHL during the 2010 -- 11 Kontinental Hockey League season .,He originally played with HC Spartak Moscow in KHL during the 2010 season -- 11 Continental Hockey League .,the | Kontinental | season,season | Continental,"[(8, 9), (15, 16), (18, 19)]","[(12, 13), (15, 16)]",2
The town of Mačvanska Mitrovica includes the city of Sremska Mitrovica and several villages .,"The city of Mačvanska Mitrovica includes the town of Sremska Mitrovica , and several villages .",town | city,"city | town | ,","[(1, 2), (7, 8)]","[(1, 2), (7, 8), (11, 12)]",3
"The municipality is divided into Barrios Asunción , Isabel , Realengo and San José .","The municipality is divided into the barrios of Asunción , Isabel , Realengo and San José .",Barrios,the barrios of,"[(5, 6)]","[(5, 8)]",1
"Swami Brahmananda ( 1863 -- 1922 ) , whose original name was Rakhal Chandra Ghosh , was the son of a cemindary in the Basirhat area .","Swami Brahmananda ( 1863 -- 1922 ) , whose original name was Rakhal Chandra Ghosh , was son of a zemindar in the Basirhat area .",the | cemindary,zemindar,"[(17, 18), (21, 22)]","[(20, 21)]",1
"He gives his name as Karl Marx , which a duty officer types as `` Carl Marx '' .","He gives his name as Karl Marx , which types a service officer as '' Carl Marx `` .",a duty officer | `` | '',a service officer | '' | ``,"[(9, 12), (14, 15), (17, 18)]","[(10, 13), (14, 15), (17, 18)]",3
"The station is adjacent to Kintetsu Nagoya Line , the terminal of the Nagoya Railroad , and Kintetsu Nagoya Station , the terminal of the Meitetsu Nagoya Station .","The station is located next to the Kintetsu Nagoya Line , the terminal of Nagoya Railroad , and the Kintetsu Nagoya Station , the Meitetsu Nagoya Station terminal .",adjacent | the | terminal of the,located next | the | the | terminal,"[(3, 4), (12, 13), (22, 25)]","[(3, 5), (6, 7), (18, 19), (27, 28)]",4
"Therefore , the optimal language is universal up to this additive constant .","Thus , the optimal language up to this additive constant is universal .",Therefore | is universal,Thus | is universal,"[(0, 1), (5, 7)]","[(0, 1), (10, 12)]",2
"Alan Dale returned as Tom Morrow , a character who left `` NCIS '' in the episode `` Kill Ari ( Part I ) '' of the third season .","Alan Dale returned as Tom Morrow , a character who left `` NCIS '' in the third season 's episode `` Kill Ari ( Part I ) '' .",of the third season,third season 's,"[(25, 29)]","[(16, 19)]",1
The Nadeş River is a tributary of the Ciortosu River in Romania .,The river Nadeş is a tributary of the River Ciortosu in Romania .,River | Ciortosu,river | Ciortosu,"[(2, 3), (8, 9)]","[(1, 2), (9, 10)]",2
"He admired Wagner 's ability to express his own suffering and misery in great creations , and criticized Wagner 's attempt to produce short musical works .",Nietzsche admired Wagner 's ability to express his own suffering and misery in large creations . He criticized Wagner 's attempt to produce short musical works .,"He | great | , and",Nietzsche | large | . He,"[(0, 1), (13, 14), (15, 17)]","[(0, 1), (13, 14), (15, 17)]",3
"Villeneuve had no response to Andretti 's pace , and the gap increased rapidly .",Villeneuve had no answer to Andretti 's pace and the gap increased rapidly .,"response | ,",answer,"[(3, 4), (8, 9)]","[(3, 4)]",1
