term,gloss,gen_z,normal,slang_word,literal_replacement,slang_word_position,slang_positions,literal_positions
busfucked,to get stuck behind a school bus that's making way too many stops usually when you're already running late to work or to catch a train,Have you dealt with busfucked before?,Have you dealt with to get stuck behind a school bus that's making way too many stops usually when you're already running late to work or to catch a train before?,busfucked,to get stuck behind a school bus that's making way too many stops usually when you're already running late to work or to catch a train,4,"[(4, 5)]","[(4, 30)]"
wasian,a wasian is someone who has one white parent and one asian (oriental) parent,The room was full of wasians.,The room was full of people who a wasian is someone who has one white parent and one asian (oriental) parent.,wasian,people who a wasian is someone who has one white parent and one asian (oriental) parent.,5,"[(5, 6)]","[(5, 21)]"
blyad,blyad is the russian word for whore (ho),We've reached peak blyad.,We've reached peak blyad is the russian word for whore (ho).,blyad,blyad is the russian word for whore (ho).,3,"[(3, 4)]","[(3, 11)]"
derber,an out of place speck of debris,The derber was unbearable.,The an out of place speck of debris was unbearable.,derber,an out of place speck of debris,1,"[(1, 2)]","[(1, 8)]"
magunda,"magunda is a term for something bad, and can be used in many ways",Nobody warned me about magunda.,"Nobody warned me about magunda is a term for something bad, and can be used in many ways.",magunda,"magunda is a term for something bad, and can be used in many ways.",4,"[(4, 5)]","[(4, 18)]"
failwhale,the image of a whale being carried by a number of birds that appears when the twitter website is overloaded or has failed,I can't handle this failwhale anymore.,I can't handle this situation of the image of a whale being carried by a number of birds that appears when the twitter website is overloaded or has failed anymore.,failwhale,situation of the image of a whale being carried by a number of birds that appears when the twitter website is overloaded or has failed,4,"[(4, 5)]","[(4, 29)]"
bucknelled,to get bitch-slapped by a team with only 5 scholarship players when you're ranked #1 in rpi and #5 overall in the country,Have you dealt with bucknelled before?,Have you dealt with to get bitch-slapped by a team with only 5 scholarship players when you're ranked #1 in rpi and #5 overall in the country before?,bucknelled,to get bitch-slapped by a team with only 5 scholarship players when you're ranked #1 in rpi and #5 overall in the country,4,"[(4, 5)]","[(4, 27)]"
merthur,"""word used to define the slash pairing consisting of merlin and arthur pendragon from the bbc tv show ""merlin""",This is textbook merthur.,"This is a textbook case of word used to define the slash pairing consisting of merlin and arthur pendragon from the bbc tv show ""merlin.",merthur,"a | case of word used to define the slash pairing consisting of merlin and arthur pendragon from the bbc tv show ""merlin.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 25)]"
arschloch,arschloch is the german word for asshole,We've reached peak arschloch.,We've reached peak arschloch is the german word for asshole.,arschloch,arschloch is the german word for asshole.,3,"[(3, 4)]","[(3, 10)]"
doaf,"a negative word which can be used as a verb,adverb,noun",The doaf was unbearable.,"The a negative word which can be used as a verb,adverb,noun was unbearable.",doaf,"a negative word which can be used as a verb,adverb,noun",1,"[(1, 2)]","[(1, 11)]"
catboner,"""a derogatory term yelled by andover townies at phillips academy students",Nobody warned me about catboner.,Nobody warned me about a derogatory term yelled by andover townies at phillips academy students.,catboner,a derogatory term yelled by andover townies at phillips academy students.,4,"[(4, 5)]","[(4, 15)]"
fobby,"originally from [fob], but has lost nearly all of it's negative connotation refers to fashion and accessories and products from eastern asia ie: hello kitty & sanrio products",I can't handle this fobby anymore.,"I can't handle this situation of originally from [fob], but has lost nearly all of it's negative connotation refers to fashion and accessories and products from eastern asia ie: hello kitty & sanrio products anymore.",fobby,"situation of originally from [fob], but has lost nearly all of it's negative connotation refers to fashion and accessories and products from eastern asia ie: hello kitty & sanrio products",4,"[(4, 5)]","[(4, 34)]"
chuddy,chewing gum,Have you dealt with chuddy before?,Have you dealt with chewing gum before?,chuddy,chewing gum,4,"[(4, 5)]","[(4, 6)]"
dearheart,"""an affectionate soubriquet for the person that has woken your heart and dispelled your misgivings about the world at large (re its ""shame and terror"" -saroyan)",This is textbook dearheart.,"This is a textbook case of an affectionate soubriquet for the person that has woken your heart and dispelled your misgivings about the world at large (re its ""shame and terror"" -saroyan).",dearheart,"a | case of an affectionate soubriquet for the person that has woken your heart and dispelled your misgivings about the world at large (re its ""shame and terror"" -saroyan).",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 32)]"
caek,a lie,We've reached peak caek.,We've reached peak a lie.,caek,a lie.,3,"[(3, 4)]","[(3, 5)]"
beeyatch,stretched-out phonetical version of [bitch],The beeyatch was unbearable.,The stretched-out phonetical version of [bitch] was unbearable.,beeyatch,stretched-out phonetical version of [bitch],1,"[(1, 2)]","[(1, 6)]"
cowies,a slang term in the north east of england for ecstacy tablets,Nobody warned me about cowies.,Nobody warned me about a slang term in the north east of england for ecstacy tablets.,cowies,a slang term in the north east of england for ecstacy tablets.,4,"[(4, 5)]","[(4, 16)]"
chaunch,"a indent,ditch,vagina,pussy",I can't handle this chaunch anymore.,"I can't handle this situation of a indent,ditch,vagina,pussy anymore.",chaunch,"situation of a indent,ditch,vagina,pussy",4,"[(4, 5)]","[(4, 8)]"
brianism,"a movement to educate people about the thoughts, feelings, and criticisms from a 'know-it-all' man",Have you dealt with brianism before?,"Have you dealt with a movement to educate people about the thoughts, feelings, and criticisms from a 'know-it-all' man before?",brianism,"a movement to educate people about the thoughts, feelings, and criticisms from a 'know-it-all' man",4,"[(4, 5)]","[(4, 19)]"
bhavik,the highest level of coolness normally accompanied by a bevy of gorgeous and beautiful women,Don't talk to me when I'm bhavik.,Don't talk to me when I'm the highest level of coolness normally accompanied by a bevy of gorgeous and beautiful women.,bhavik,the highest level of coolness normally accompanied by a bevy of gorgeous and beautiful women.,6,"[(6, 7)]","[(6, 21)]"
chimpeachment,"""frankenword combining ""chimp"" (in reference to [george w bush], aka [chimpy mcflightsuit]) and ""impeachment""",We've reached peak chimpeachment.,"We've reached peak frankenword combining ""chimp"" (in reference to [george w bush], aka [chimpy mcflightsuit]) and ""impeachment.",chimpeachment,"frankenword combining ""chimp"" (in reference to [george w bush], aka [chimpy mcflightsuit]) and ""impeachment.",3,"[(3, 4)]","[(3, 17)]"
blackasaurus,1) a black person 2) an insult to any non-black person 3) mr,The blackasaurus was unbearable.,The 1) a black person 2) an insult to any non-black person 3) mr was unbearable.,blackasaurus,1) a black person 2) an insult to any non-black person 3) mr,1,"[(1, 2)]","[(1, 14)]"
frisbeetarian,"the belief that when you die, your soul floats away and gets stuck on the roof",Nobody warned me about frisbeetarian.,"Nobody warned me about the belief that when you die, your soul floats away and gets stuck on the roof.",frisbeetarian,"the belief that when you die, your soul floats away and gets stuck on the roof.",4,"[(4, 5)]","[(4, 20)]"
fagasaurus,"a prehistoric, and homosexual, reptile, which (for obvious reasons) is now exstinct",I can't handle this fagasaurus anymore.,"I can't handle this situation of a prehistoric, and homosexual, reptile, which (for obvious reasons) is now exstinct anymore.",fagasaurus,"situation of a prehistoric, and homosexual, reptile, which (for obvious reasons) is now exstinct",4,"[(4, 5)]","[(4, 18)]"
breejetwa,"1) the recieving of a [blowjob] midst playing [call of duty], either [modern warfare], world at war, and soon to be modern warfare 2",Have you dealt with breejetwa before?,"Have you dealt with 1) the recieving of a [blowjob] midst playing [call of duty], either [modern warfare], world at war, and soon to be modern warfare 2 before?",breejetwa,"1) the recieving of a [blowjob] midst playing [call of duty], either [modern warfare], world at war, and soon to be modern warfare 2",4,"[(4, 5)]","[(4, 28)]"
cellabator,a person who continually calls their own cell phone to listen to the ringtone,The room was full of cellabators.,The room was full of people who continually calls their own cell phone to listen to the ringtone.,cellabator,people who continually calls their own cell phone to listen to the ringtone.,5,"[(5, 6)]","[(5, 18)]"
browncloud,"fart, buttgas, flatulence, methane melody, ripper, poof, asstune",We've reached peak browncloud.,"We've reached peak fart, buttgas, flatulence, methane melody, ripper, poof, asstune.",browncloud,"fart, buttgas, flatulence, methane melody, ripper, poof, asstune.",3,"[(3, 4)]","[(3, 11)]"
chenis,a fleshy foot and a half penis shaped extension surgically added to your chin,The chenis was unbearable.,The a fleshy foot and a half penis shaped extension surgically added to your chin was unbearable.,chenis,a fleshy foot and a half penis shaped extension surgically added to your chin,1,"[(1, 2)]","[(1, 15)]"
deepside,"""in essence, the city of lauderhill, with a very small portion of eastern sunrise",Nobody warned me about deepside.,"Nobody warned me about in essence, the city of lauderhill, with a very small portion of eastern sunrise.",deepside,"in essence, the city of lauderhill, with a very small portion of eastern sunrise.",4,"[(4, 5)]","[(4, 18)]"
hemroid,"basically, a swollen blood vessel on your ass",I can't handle this hemroid anymore.,"I can't handle this situation of basically, a swollen blood vessel on your ass anymore.",hemroid,"situation of basically, a swollen blood vessel on your ass",4,"[(4, 5)]","[(4, 14)]"
jizztastic,"good enough to make you soak your pants with semen, better than fantastic",Have you dealt with jizztastic before?,"Have you dealt with good enough to make you soak your pants with semen, better than fantastic before?",jizztastic,"good enough to make you soak your pants with semen, better than fantastic",4,"[(4, 5)]","[(4, 17)]"
dumbling,wearing unintelligent jewelry,The art of dumbling takes practice.,The art of wearing unintelligent jewelry takes practice.,dumbling,wearing unintelligent jewelry,3,"[(3, 4)]","[(3, 6)]"
paulbots,"""an almost cult-like following for 08 presidential candidate, ron paul",We've reached peak paulbots.,"We've reached peak an almost cult-like following for 08 presidential candidate, ron paul.",paulbots,"an almost cult-like following for 08 presidential candidate, ron paul.",3,"[(3, 4)]","[(3, 13)]"
amairani,"a beautiful, independent, loving, smart, friendly, giving person",The amairani was unbearable.,"The a beautiful, independent, loving, smart, friendly, giving person was unbearable.",amairani,"a beautiful, independent, loving, smart, friendly, giving person",1,"[(1, 2)]","[(1, 9)]"
exadurate,how retards without spell check or common sense enough to [google] something they've misspelled spell the word [exaggerate],Nobody warned me about exadurate.,Nobody warned me about how retards without spell check or common sense enough to [google] something they've misspelled spell the word [exaggerate].,exadurate,how retards without spell check or common sense enough to [google] something they've misspelled spell the word [exaggerate].,4,"[(4, 5)]","[(4, 22)]"
decemberunderground,decemberunderground is a time and a place,I can't handle this decemberunderground anymore.,I can't handle this situation of decemberunderground is a time and a place anymore.,decemberunderground,situation of | is a time and a place,4,"[(4, 4), (5, 5)]","[(4, 6), (7, 13)]"
bonerville,the flagship of the pontiac line for the past 50 years,Have you dealt with bonerville before?,Have you dealt with the flagship of the pontiac line for the past 50 years before?,bonerville,the flagship of the pontiac line for the past 50 years,4,"[(4, 5)]","[(4, 15)]"
blogspam,a blog where the author paraphrases or copies from the original article/webpage in an attempt to increase his or her own traffic,This is textbook blogspam.,This is a textbook case of a blog where the author paraphrases or copies from the original article/webpage in an attempt to increase his or her own traffic.,blogspam,a | case of a blog where the author paraphrases or copies from the original article/webpage in an attempt to increase his or her own traffic.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 28)]"
ballcream,an anti-itch fungal cream that you apply to your testicles,We've reached peak ballcream.,We've reached peak an anti-itch fungal cream that you apply to your testicles.,ballcream,an anti-itch fungal cream that you apply to your testicles.,3,"[(3, 4)]","[(3, 13)]"
stfw,search the fucking web,The stfw was unbearable.,The search the fucking web was unbearable.,stfw,search the fucking web,1,"[(1, 2)]","[(1, 5)]"
americorp,"""the new name applied to ""america"" since it's hostile take over by ""big business""",Nobody warned me about americorp.,"Nobody warned me about the new name applied to ""america"" since it's hostile take over by ""big business.",americorp,"the new name applied to ""america"" since it's hostile take over by ""big business.",4,"[(4, 5)]","[(4, 18)]"
dootsbomb,a dootsbomb requires great mastery of shit intercourse,I can't handle this dootsbomb anymore.,I can't handle this situation of a dootsbomb requires great mastery of shit intercourse anymore.,dootsbomb,situation of a | requires great mastery of shit intercourse,4,"[(4, 4), (5, 5)]","[(4, 7), (8, 14)]"
byobb,bring your own biology book,Have you dealt with byobb before?,Have you dealt with bring your own biology book before?,byobb,bring your own biology book,4,"[(4, 5)]","[(4, 9)]"
burncoat,"""a high school in central massachusetts, it began in the 1960's and now is home to all sorts of people five days a week until 1:43pm",Don't talk to me when I'm burncoat.,"Don't talk to me when I'm a high school in central massachusetts, it began in the 1960's and now is home to all sorts of people five days a week until 1:43pm.",burncoat,"a high school in central massachusetts, it began in the 1960's and now is home to all sorts of people five days a week until 1:43pm.",6,"[(6, 7)]","[(6, 32)]"
ghelchoido,"an abuse in gujarati, meaning an idiot, a moron or a fool",We've reached peak ghelchoido.,"We've reached peak an abuse in gujarati, meaning an idiot, a moron or a fool.",ghelchoido,"an abuse in gujarati, meaning an idiot, a moron or a fool.",3,"[(3, 4)]","[(3, 15)]"
highdea,an idea or insight a person has when they are high,She's completely highdea after that.,She's completely an idea or insight a person has when they are high after that.,highdea,an idea or insight a person has when they are high,2,"[(2, 3)]","[(2, 13)]"
crumpin,"""a dance that started appearing in la clubs, which was originally done by clowns (no lie!)",Nobody warned me about crumpin.,"Nobody warned me about a dance that started appearing in la clubs, which was originally done by clowns (no lie!).",crumpin,"a dance that started appearing in la clubs, which was originally done by clowns (no lie!).",4,"[(4, 5)]","[(4, 20)]"
carbicide,"""as seen in ""bruno"": when someone, usually someone who omits carbs from their normal diet routine, binges on fattening foods and must be stopped by a friend",My coworker is such a carbicide.,"My coworker is someone who as seen in ""bruno"": when someone, usually someone who omits carbs from their normal diet routine, binges on fattening foods and must be stopped by a friend.",carbicide,"someone who as seen in ""bruno"": when someone, usually someone who omits carbs from their normal diet routine, binges on fattening foods and must be stopped by | friend.",5,"[(3, 4), (5, 6)]","[(3, 30), (31, 32)]"
fadonk,to launch a high velocity male genitalia upon the cheek of the opposite sex,She's completely fadonk after that.,She's completely to launch a high velocity male genitalia upon the cheek of the opposite sex after that.,fadonk,to launch a high velocity male genitalia upon the cheek of the opposite sex,2,"[(2, 3)]","[(2, 16)]"
mandango,a huge black dick!,This is textbook mandango.,This is a textbook case of a huge black dick!.,mandango,a | case of a huge black dick!.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 10)]"
clitter,glitter for your vagina!,We've reached peak clitter.,We've reached peak glitter for your vagina!.,clitter,glitter for your vagina!.,3,"[(3, 4)]","[(3, 7)]"
gamefags,"the homosexual version of gamefaqs, designed by gay gamers for gay gamers",The gamefags was unbearable.,"The the homosexual version of gamefaqs, designed by gay gamers for gay gamers was unbearable.",gamefags,"the homosexual version of gamefaqs, designed by gay gamers for gay gamers",1,"[(1, 2)]","[(1, 13)]"
asdflgasm,the feeling of elation experienced when your favourite youtuber or band member notices you,Nobody warned me about asdflgasm.,Nobody warned me about the feeling of elation experienced when your favourite youtuber or band member notices you.,asdflgasm,the feeling of elation experienced when your favourite youtuber or band member notices you.,4,"[(4, 5)]","[(4, 18)]"
dsts,"""similar to the dts (delirium tremens) of an alcoholic, the dsts occur when you wake up the day after a daylight savings time change",I can't handle this dsts anymore.,"I can't handle this situation of similar to the dts (delirium tremens) of an alcoholic, the dsts occur when you wake up the day after a daylight savings time change anymore.",dsts,"situation of similar to the dts (delirium tremens) of an alcoholic, the | occur when you wake up the day after a daylight savings time change",4,"[(4, 4), (5, 5)]","[(4, 16), (17, 30)]"
cancerstick,synonym for cigarette,Have you dealt with cancerstick before?,Have you dealt with synonym for cigarette before?,cancerstick,synonym for cigarette,4,"[(4, 5)]","[(4, 7)]"
bushnews,news that talk about the former president bush,This is textbook bushnews.,This is a textbook case of news that talk about the former president bush.,bushnews,a | case of news that talk about the former president bush.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 14)]"
christmess,the aftermath of the christmas celebrations,We've reached peak christmess.,We've reached peak the aftermath of the christmas celebrations.,christmess,the aftermath of the christmas celebrations.,3,"[(3, 4)]","[(3, 9)]"
estefany,an amazing woman! loves sex,The estefany was unbearable.,The an amazing woman! loves sex was unbearable.,estefany,an amazing woman! loves sex,1,"[(1, 2)]","[(1, 6)]"
brosion,brosion (bro-shun) not to be confused with bromance,Nobody warned me about brosion.,Nobody warned me about brosion (bro-shun) not to be confused with bromance.,brosion,brosion (bro-shun) not to be confused with bromance.,4,"[(4, 5)]","[(4, 12)]"
bushophobe,a person who rears or dislikes george w,My coworker is such a bushophobe.,My coworker is someone who rears or dislikes george w.,bushophobe,someone who rears or dislikes george w.,5,"[(3, 6)]","[(3, 10)]"
paun,"adjective, verb",Have you dealt with paun before?,"Have you dealt with adjective, verb before?",paun,"adjective, verb",4,"[(4, 5)]","[(4, 6)]"
faptastical,something that is so amazing that requires you to [fap],This is textbook faptastical.,This is a textbook case of something that is so amazing that requires you to [fap].,faptastical,a | case of something that is so amazing that requires you to [fap].,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 16)]"
narley,narley or gnarley meens the most totaly rad thing in the world,We've reached peak narley.,We've reached peak narley or gnarley meens the most totaly rad thing in the world.,narley,narley or gnarley meens the most totaly rad thing in the world.,3,"[(3, 4)]","[(3, 15)]"
bushiot,"""person who supports / worships / agrees with ""president"" bush""",The bushiot was unbearable.,"The person who supports / worships / agrees with ""president"" bush was unbearable.",bushiot,"person who supports / worships / agrees with ""president"" bush",1,"[(1, 2)]","[(1, 11)]"
danisnotonfire,a man with a nice tongue,Nobody warned me about danisnotonfire.,Nobody warned me about a man with a nice tongue.,danisnotonfire,a man with a nice tongue.,4,"[(4, 5)]","[(4, 10)]"
dickboy,"dickboy (noun, verb) 1",I can't handle this dickboy anymore.,"I can't handle this situation of dickboy (noun, verb) 1 anymore.",dickboy,"situation of | (noun, verb) 1",4,"[(4, 4), (5, 5)]","[(4, 6), (7, 10)]"
fusker,the act of iteratively accessing (pornographic) photographs using automated technologies,Is fusker even allowed here?,Is iteratively accessing (pornographic) photographs using automated technologies even allowed here?,fusker,iteratively accessing (pornographic) photographs using automated technologies,1,"[(1, 2)]","[(1, 8)]"
bunkin,making money off the fiends,This is textbook bunkin.,This is a textbook case of making money off the fiends.,bunkin,a | case of making money off the fiends.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 11)]"
fuckistan,"another name for pakistan, because it rhymes",We've reached peak fuckistan.,"We've reached peak another name for pakistan, because it rhymes.",fuckistan,"another name for pakistan, because it rhymes.",3,"[(3, 4)]","[(3, 10)]"
emotronic,the combining of emo with electronic music,The emotronic was unbearable.,The the combining of emo with electronic music was unbearable.,emotronic,the combining of emo with electronic music,1,"[(1, 2)]","[(1, 8)]"
inniggeration,the inauguration of a prominent black person,Nobody warned me about inniggeration.,Nobody warned me about the inauguration of a prominent black person.,inniggeration,the inauguration of a prominent black person.,4,"[(4, 5)]","[(4, 11)]"
blumpkaaaaaaaaaaahhhhhhhhhhh,the art of receiving a [blumpkin] on a roller coaster,I can't handle this blumpkaaaaaaaaaaahhhhhhhhhhh anymore.,I can't handle this situation of the art of receiving a [blumpkin] on a roller coaster anymore.,blumpkaaaaaaaaaaahhhhhhhhhhh,situation of the art of receiving a [blumpkin] on a roller coaster,4,"[(4, 5)]","[(4, 16)]"
fudgefinger,the awful condition experienced when you wipe your butt so vigorously that you pierce the toilet paper,Have you dealt with fudgefinger before?,Have you dealt with the awful condition experienced when you wipe your butt so vigorously that you pierce the toilet paper before?,fudgefinger,the awful condition experienced when you wipe your butt so vigorously that you pierce the toilet paper,4,"[(4, 5)]","[(4, 21)]"
brocabulary,"part of bromanculture, vocabulary spoken from one bro to another, with emphasis on bronunciation",This is textbook brocabulary.,"This is a textbook case of part of bromanculture, vocabulary spoken from one bro to another, with emphasis on bronunciation.",brocabulary,"a | case of part of bromanculture, vocabulary spoken from one bro to another, with emphasis on bronunciation.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 20)]"
chresanto,a boy who loves animals and always happy,We've reached peak chresanto.,We've reached peak a boy who loves animals and always happy.,chresanto,a boy who loves animals and always happy.,3,"[(3, 4)]","[(3, 11)]"
fishbowling,"to put alcohol into a fishbowl, color it with food coloring, and drink it with bendy straws",Is fishbowling even allowed here?,"Is to put alcohol into a fishbowl, color it with food coloring, and drink it with bendy straws even allowed here?",fishbowling,"to put alcohol into a fishbowl, color it with food coloring, and drink it with bendy straws",1,"[(1, 2)]","[(1, 18)]"
demonocracy,"a government that pretends to be a democracy, but, isn't",Nobody warned me about demonocracy.,"Nobody warned me about a government that pretends to be a democracy, but, isn't.",demonocracy,"a government that pretends to be a democracy, but, isn't.",4,"[(4, 5)]","[(4, 14)]"
bushup,"(noun) extreme degree of screwup or [fuckup] or [snafu], often linked to fatalities, disease, destruction and no way out",I can't handle this bushup anymore.,"I can't handle this situation of (noun) extreme degree of screwup or [fuckup] or [snafu], often linked to fatalities, disease, destruction and no way out anymore.",bushup,"situation of (noun) extreme degree of screwup or [fuckup] or [snafu], often linked to fatalities, disease, destruction and no way out",4,"[(4, 5)]","[(4, 25)]"
cuntroversy,a false accusation of rape,Have you dealt with cuntroversy before?,Have you dealt with a false accusation of rape before?,cuntroversy,a false accusation of rape,4,"[(4, 5)]","[(4, 9)]"
estephanie,"""a beautiful dark haired girl, with beautiful dark eyes that can pierce through your soul",This is textbook estephanie.,"This is a textbook case of a beautiful dark haired girl, with beautiful dark eyes that can pierce through your soul.",estephanie,"a | case of a beautiful dark haired girl, with beautiful dark eyes that can pierce through your soul.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 21)]"
chancletas,"a word for flip flops or other type of slip on, inexpensive sandal",We've reached peak chancletas.,"We've reached peak a word for flip flops or other type of slip on, inexpensive sandal.",chancletas,"a word for flip flops or other type of slip on, inexpensive sandal.",3,"[(3, 4)]","[(3, 16)]"
niggaspace,an ignorant website,The niggaspace was unbearable.,The an ignorant website was unbearable.,niggaspace,an ignorant website,1,"[(1, 2)]","[(1, 4)]"
crowdway,"derived from highway, it means a path in a crowd where many people pass through, e",Don't talk to me when I'm crowdway.,"Don't talk to me when I'm derived from highway, it means a path in a crowd where many people pass through, e.",crowdway,"derived from highway, it means a path in a crowd where many people pass through, e.",6,"[(6, 7)]","[(6, 22)]"
elricest,"""elricest is the pairing of [edward elric] and [alphonse elric]",I can't handle this elricest anymore.,I can't handle this situation of elricest is the pairing of [edward elric] and [alphonse elric] anymore.,elricest,situation of | is the pairing of [edward elric] and [alphonse elric],4,"[(4, 4), (5, 5)]","[(4, 6), (7, 16)]"
assstalker,"someone who is prone to fucking asses, especially - someone who fucks asses he is not supposed to fuck",Don't be a assstalker.,"Don't be someone who is prone to fucking asses, especially - someone who fucks asses he is not supposed to fuck.",assstalker,"someone who is prone to fucking asses, especially - someone who fucks asses he is not supposed to fuck.",3,"[(2, 4)]","[(2, 21)]"
jaylee,"fun , loud , smart , funny, crazy , goofy , weird , short , annnnd jaylee !",This is textbook jaylee.,"This is a textbook case of fun , loud , smart , funny, crazy , goofy , weird , short , annnnd jaylee !.",jaylee,"a | case of fun , loud , smart , funny, crazy , goofy , weird , short , annnnd jaylee !.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 24)]"
barretting,working endlessly on a really difficult literature assignment,I spent all day barretting.,I spent all day working endlessly on a really difficult literature assignment.,barretting,working endlessly on a really difficult literature assignment.,4,"[(4, 5)]","[(4, 12)]"
blackcore,"""a metalcore sub-genre that will exist when scene kids decide to stop destroying death metal",The blackcore was unbearable.,The a metalcore sub-genre that will exist when scene kids decide to stop destroying death metal was unbearable.,blackcore,a metalcore sub-genre that will exist when scene kids decide to stop destroying death metal,1,"[(1, 2)]","[(1, 16)]"
geoman,farmer,Nobody warned me about geoman.,Nobody warned me about farmer.,geoman,farmer.,4,"[(4, 5)]","[(4, 5)]"
crivens,a scots expression of surprise or shock,I can't handle this crivens anymore.,I can't handle this situation of a scots expression of surprise or shock anymore.,crivens,situation of a scots expression of surprise or shock,4,"[(4, 5)]","[(4, 13)]"
bandslash,slash fiction involving the pairings of two or more bandmates of the same gender,Have you dealt with bandslash before?,Have you dealt with slash fiction involving the pairings of two or more bandmates of the same gender before?,bandslash,slash fiction involving the pairings of two or more bandmates of the same gender,4,"[(4, 5)]","[(4, 18)]"
aderol,a type of perscripition drug that is used to increase focus and can also be useful for keeping one awake,This is textbook aderol.,This is a textbook case of a type of perscripition drug that is used to increase focus and can also be useful for keeping one awake.,aderol,a | case of a type of perscripition drug that is used to increase focus and can also be useful for keeping one awake.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 26)]"
esham,"the unholy, the originator of the acid rappin'",We've reached peak esham.,"We've reached peak the unholy, the originator of the acid rappin.",esham,"the unholy, the originator of the acid rappin.",3,"[(3, 4)]","[(3, 11)]"
cienna,"somebody who is sweet,loving,generous,cute,and awesome can make your day no matter what, if your sad you should talk to her",That outfit is so cienna.,"That outfit is so somebody who is sweet,loving,generous,cute,and awesome can make your day no matter what, if your sad you should talk to her.",cienna,"somebody who is sweet,loving,generous,cute,and awesome can make your day no matter what, if your sad you should talk to her.",4,"[(4, 5)]","[(4, 24)]"
gleet,"the discharge produced by one's genitalia as a result of an advanced case of an std, particularly gonorrhea",Nobody warned me about gleet.,"Nobody warned me about the discharge produced by one's genitalia as a result of an advanced case of an std, particularly gonorrhea.",gleet,"the discharge produced by one's genitalia as a result of an advanced case of an std, particularly gonorrhea.",4,"[(4, 5)]","[(4, 22)]"
doitsuism,"""a religion that worships the hetalia character germany, or lord doitsu",I can't handle this doitsuism anymore.,"I can't handle this situation of a religion that worships the hetalia character germany, or lord doitsu anymore.",doitsuism,"situation of a religion that worships the hetalia character germany, or lord doitsu",4,"[(4, 5)]","[(4, 17)]"
bushcroft,"just a shortened term for bush and ashcroft, or bush and the rest of his cabinet",Have you dealt with bushcroft before?,"Have you dealt with just a shortened term for bush and ashcroft, or bush and the rest of his cabinet before?",bushcroft,"just a shortened term for bush and ashcroft, or bush and the rest of his cabinet",4,"[(4, 5)]","[(4, 20)]"
fearection,"""sexual arousal combined with a feeling of intimidation and uncertainty, generally provoked by powerful/forceful women who are physically attractive",He always dresses fearection.,"He always dresses sexual arousal combined with a feeling of intimidation and uncertainty, generally provoked by powerful/forceful women who are physically attractive.",fearection,"sexual arousal combined with a feeling of intimidation and uncertainty, generally provoked by powerful/forceful women who are physically attractive.",3,"[(3, 4)]","[(3, 22)]"
goocher,"when picking odd man out by flipping coins, a [goocher] is when all coins land tails side up",I hate when goocher happens.,"I hate when picking odd man out by flipping coins, a [goocher] is when all coins land tails side up.",goocher,"picking odd man out by flipping coins, a [goocher] is when all coins land tails side up.",3,"[(3, 5)]","[(3, 20)]"
bmnp,black man nigger penis,The bmnp was unbearable.,The black man nigger penis was unbearable.,bmnp,black man nigger penis,1,"[(1, 2)]","[(1, 5)]"
woofin,lying about something,Nobody warned me about woofin.,Nobody warned me about lying about something.,woofin,lying about something.,4,"[(4, 5)]","[(4, 7)]"
krunked,drunk and highhh,I get krunked around 3 PM.,I get drunk and highhh around 3 PM.,krunked,drunk and highhh,2,"[(2, 3)]","[(2, 5)]"
mcdojo,martial arts club with no crediblity,Have you dealt with mcdojo before?,Have you dealt with martial arts club with no crediblity before?,mcdojo,martial arts club with no crediblity,4,"[(4, 5)]","[(4, 10)]"
macked,to have made out with someone,This is textbook macked.,This is a textbook case of to have made out with someone.,macked,a | case of to have made out with someone.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 12)]"
cuntbusting,cuntbusting cuntbusting is a masochistic paraphiliac activity in which a female is struck in the groin,I spent all day cuntbusting.,I spent all day cuntbusting cuntbusting is a masochistic paraphiliac activity in which a female is struck in the groin.,cuntbusting,cuntbusting cuntbusting is a masochistic paraphiliac activity in which a female is struck in the groin.,4,"[(4, 5)]","[(4, 20)]"
lni,late night imgur- a period of time each night in which people on imgur,The lni was unbearable.,The late night imgur- a period of time each night in which people on imgur was unbearable.,lni,late night imgur- a period of time each night in which people on imgur,1,"[(1, 2)]","[(1, 15)]"
cripalet,"""the term that members of the ""crips"" gang give their numerous illegitamate spawn",Nobody warned me about cripalet.,"Nobody warned me about the term that members of the ""crips"" gang give their numerous illegitamate spawn.",cripalet,"the term that members of the ""crips"" gang give their numerous illegitamate spawn.",4,"[(4, 5)]","[(4, 17)]"
coolishly,coolishly - coo'li'shh'ly,You look coolishly tonight!,You look coolishly - coo'li'shh'ly tonight!,coolishly,- coo'li'shh'ly,2,"[(3, 3)]","[(3, 5)]"
