normal,identical,literal_segments,identical_segments,literal_positions,identical_positions,num_differences
"If the n vectors are linearly orthogonal , equality in Hadamard 's inequality is achieved if and only if the vectors are independent .","If the n vectors are linearly orthogonal , equality in Hadamard 's inequality is achieved if and only if the vectors are independent .",inequality,inequality,"[(12, 13)]","[(12, 13)]",0
"Chananian is a village in Leepa Valley , Hattian Bala District of Azad Kashmir , Pakistan .","Chananian is a village in Leepa Valley , Hattian Bala District of Azad Kashmir , Pakistan .",Hattian,Hattian,"[(8, 9)]","[(8, 9)]",0
Holy Trinity ( Catholic League ) ( 1443 W. Division St ) was also a Catholic League Team . The last Tigers season for football was 1965 .,Holy Trinity ( Catholic League ) ( 1443 W. Division St ) was also a Catholic League Team . The last Tigers season for football was 1965 .,a,a,"[(14, 15)]","[(14, 15)]",0
Family life was long in the early days . Both water and firewood had to be brought from hard .,Family life was long in the early days . Both water and firewood had to be brought from hard .,water,water,"[(10, 11)]","[(10, 11)]",0
"Lennox Island 6 is located in Fernwood , Prince Edward Island , approximately to the west of the Bedeque community .","Lennox Island 6 is located in Fernwood , Prince Edward Island , approximately to the west of the Bedeque community .",Island,Island,"[(10, 11)]","[(10, 11)]",0
"Such a modified peptide , or `` distorted key `` , will automatically become an inhibitor candidate against HIV protease .","Such a modified peptide , or `` distorted key `` , will automatically become an inhibitor candidate against HIV protease .",",",",","[(10, 11)]","[(10, 11)]",0
The Borcut River was a tributary of the Colnici River in Romania .,The Borcut River was a tributary of the Colnici River in Romania .,of,of,"[(6, 7)]","[(6, 7)]",0
He held various positions at IBM before joining Wang Laboratories in 1981 .,He held various positions at IBM before joining Wang Laboratories in 1981 .,before,before,"[(6, 7)]","[(6, 7)]",0
The 2010 European national road cycling championships began in January in Australia and New Zealand . Most of the national championships take place in June .,The 2010 European national road cycling championships began in January in Australia and New Zealand . Most of the national championships take place in June .,New,New,"[(13, 14)]","[(13, 14)]",0
"There are currently twenty-one churches in seven states ( Arkansas , Kentucky , North Carolina , Ohio , Tennessee , Virginia , and West Virginia . )","There are currently twenty-one churches in seven states ( Arkansas , Kentucky , North Carolina , Ohio , Tennessee , Virginia , and West Virginia . )",North,North,"[(13, 14)]","[(13, 14)]",0
"The Greeks and Romans identified the region in the 3rd century BC as Gangaridai , a historical kingdom of the mighty subcontinent .","The Greeks and Romans identified the region in the 3rd century BC as Gangaridai , a historical kingdom of the mighty subcontinent .",BC,BC,"[(11, 12)]","[(11, 12)]",0
"There is little in Schell 's book that is available , but his careful assembly of the new evidence will scare most readers .","There is little in Schell 's book that is available , but his careful assembly of the new evidence will scare most readers .",his,his,"[(12, 13)]","[(12, 13)]",0
"He grew up in Nashville , Tennessee , before his family settled at Bonnyville , Alberta .","He grew up in Nashville , Tennessee , before his family settled at Bonnyville , Alberta .",before,before,"[(8, 9)]","[(8, 9)]",0
The following condition applies : Prefix of the string formula 22 of length formula 10 corresponds to the prefix of Formula 24 of length formula 10 implies Formula 26 .,The following condition applies : Prefix of the string formula 22 of length formula 10 corresponds to the prefix of Formula 24 of length formula 10 implies Formula 26 .,corresponds,corresponds,"[(15, 16)]","[(15, 16)]",0
"Bowman grew up in Quincy , Massachusetts , and started his newspaper career in 1976 as a stringer for `` The Patriot Ledger '' in Boston .","Bowman grew up in Quincy , Massachusetts , and started his newspaper career in 1976 as a stringer for `` The Patriot Ledger '' in Boston .",in,in,"[(13, 14)]","[(13, 14)]",0
"The following night , Delirious put aside his problems with Danielson in order to challenge Pearce .","The following night , Delirious put aside his problems with Danielson in order to challenge Pearce .",problems,problems,"[(8, 9)]","[(8, 9)]",0
"In 1828 , Yeoman married Laetitia Snyder of Albany , with whom he had two daughters and three sons .","In 1828 , Yeoman married Laetitia Snyder of Albany , with whom he had two daughters and three sons .",with,with,"[(10, 11)]","[(10, 11)]",0
It will be convenient to set the acceleration vector as formula _ 26 and also to write .,It will be convenient to set the acceleration vector as formula _ 26 and also to write .,as,as,"[(9, 10)]","[(9, 10)]",0
"Guido Reni , also known as the Marchino di Marco Bandinelli , was an Italian baroque painter .","Guido Reni , also known as the Marchino di Marco Bandinelli , was an Italian baroque painter .",Marco,Marco,"[(9, 10)]","[(9, 10)]",0
Steve Davis won 9 -- 8 against Terry Griffiths in the finals .,Steve Davis won 9 -- 8 against Terry Griffiths in the finals .,against,against,"[(6, 7)]","[(6, 7)]",0
"The band 's first DVD recording , released at the Y Theatre in Leicester in March 2010 , was filmed in January 2011 .","The band 's first DVD recording , released at the Y Theatre in Leicester in March 2010 , was filmed in January 2011 .",in,in,"[(12, 13)]","[(12, 13)]",0
"The trip begins from Mumbai to Goa via Nashik , Ajanta Ellora Caves , Kolhapur , Sindhudurg and back .","The trip begins from Mumbai to Goa via Nashik , Ajanta Ellora Caves , Kolhapur , Sindhudurg and back .",Ajanta,Ajanta,"[(10, 11)]","[(10, 11)]",0
Chelsey Tregear ( also known as Chelsey Nash ) is an Australian netball player who plays for the Melbourne Vixens in the ANZ Championship .,Chelsey Tregear ( also known as Chelsey Nash ) is an Australian netball player who plays for the Melbourne Vixens in the ANZ Championship .,netball,netball,"[(12, 13)]","[(12, 13)]",0
"Brockton is situated about 25 miles south of Boston and 30 miles northeast of Providence , Rhode Island .","Brockton is situated about 25 miles south of Boston and 30 miles northeast of Providence , Rhode Island .",and,and,"[(9, 10)]","[(9, 10)]",0
"The white Pontiac , a last model year 2010 G6 4 - doory limousine , was built in January 2010 at the Orion Township assembly line .","The white Pontiac , a last model year 2010 G6 4 - doory limousine , was built in January 2010 at the Orion Township assembly line .",limousine,limousine,"[(13, 14)]","[(13, 14)]",0
"Bowman grew up in Quincy , Massachusetts . He started his newspaper career in 1976 as a stringer for `` The Patriot Ledger '' in Boston .","Bowman grew up in Quincy , Massachusetts . He started his newspaper career in 1976 as a stringer for `` The Patriot Ledger '' in Boston .",in,in,"[(13, 14)]","[(13, 14)]",0
Other frequenters of the colony were the writer Adolf Wolff and the sculptor Alfred Kreymborg .,Other frequenters of the colony were the writer Adolf Wolff and the sculptor Alfred Kreymborg .,Adolf,Adolf,"[(8, 9)]","[(8, 9)]",0
"During their relationship the pair lived in London and Los Angeles , though Seymour spent more time in Los Angeles for her work .","During their relationship the pair lived in London and Los Angeles , though Seymour spent more time in Los Angeles for her work .",though,though,"[(12, 13)]","[(12, 13)]",0
"As a candy , they are often red with licorice flavor or black and strawberry or cherry flavored .","As a candy , they are often red with licorice flavor or black and strawberry or cherry flavored .",licorice,licorice,"[(9, 10)]","[(9, 10)]",0
There was later an Australian version of `` Press Your Luck '' from 1987 to 1988 on Seven Network hosted by Ian Turpie and also produced by Grundy .,There was later an Australian version of `` Press Your Luck '' from 1987 to 1988 on Seven Network hosted by Ian Turpie and also produced by Grundy .,to,to,"[(14, 15)]","[(14, 15)]",0
"In 1977 , after Robert Child had died , Hortense married Eldred G. Smith .","In 1977 , after Robert Child had died , Hortense married Eldred G. Smith .",died,died,"[(7, 8)]","[(7, 8)]",0
The station was opened on 1 July 1903 on the Donegal Railway Company railway from Stranorlar to Glenties .,The station was opened on 1 July 1903 on the Donegal Railway Company railway from Stranorlar to Glenties .,the,the,"[(9, 10)]","[(9, 10)]",0
The problem of testing whether a given polynomial is a permutation polynomial through a finite field can be resolved in polynomial time .,The problem of testing whether a given polynomial is a permutation polynomial through a finite field can be resolved in polynomial time .,polynomial,polynomial,"[(11, 12)]","[(11, 12)]",0
"The province of Varna is also the seat of the municipality of Devnya ( part of Devnya ) , which includes the following 2 villages :","The province of Varna is also the seat of the municipality of Devnya ( part of Devnya ) , which includes the following 2 villages :",(,(,"[(13, 14)]","[(13, 14)]",0
"In addition , it damaged 340 houses and destroyed 12 , most of them in Collier County .","In addition , it damaged 340 houses and destroyed 12 , most of them in Collier County .",12,12,"[(9, 10)]","[(9, 10)]",0
"In the summer of 1893 , the Czech composer Josef Jan Kovařík spent in Spillville , where his friend Antonín Dvořák had relatives .","In the summer of 1893 , the Czech composer Josef Jan Kovařík spent in Spillville , where his friend Antonín Dvořák had relatives .",spent,spent,"[(12, 13)]","[(12, 13)]",0
"Santiago is the Galician evolution of the vulgar Latin Sanctu Iacobu , `` Saint James '' .","Santiago is the Galician evolution of the vulgar Latin Sanctu Iacobu , `` Saint James '' .",Latin,Latin,"[(8, 9)]","[(8, 9)]",0
"Burton Creek State Park is a state park of California , USA , located in Placer County near Truckee .","Burton Creek State Park is a state park of California , USA , located in Placer County near Truckee .",",",",","[(10, 11)]","[(10, 11)]",0
Sestri Ponente is an industrial suburb of Genoa in northwest Italy and is part of the Medio Ponente `` Municipio '' of Genoa .,Sestri Ponente is an industrial suburb of Genoa in northwest Italy and is part of the Medio Ponente `` Municipio '' of Genoa .,is,is,"[(12, 13)]","[(12, 13)]",0
"Stevens was a Republican when the party was founded , and was a delegate to the Republican National Conventions in 1860 and 1868 .","Stevens was a Republican when the party was founded , and was a delegate to the Republican National Conventions in 1860 and 1868 .",a,a,"[(12, 13)]","[(12, 13)]",0
"Lauretta was married to Johnny Dorelli , the couple had a son , Gianluca Guidi actor .","Lauretta was married to Johnny Dorelli , the couple had a son , Gianluca Guidi actor .",couple,couple,"[(8, 9)]","[(8, 9)]",0
The Olt River or Pârâul Sec is a tributary of the Seaca River in Romania .,The Olt River or Pârâul Sec is a tributary of the Seaca River in Romania .,tributary,tributary,"[(8, 9)]","[(8, 9)]",0
"The Los Angeles County Department of Health Services operates the Torrance Health Center in Harbor Gateway , Los Angeles , near Torrance , and serves Rolling Hills .","The Los Angeles County Department of Health Services operates the Torrance Health Center in Harbor Gateway , Los Angeles , near Torrance , and serves Rolling Hills .",Harbor,Harbor,"[(14, 15)]","[(14, 15)]",0
"The `` Houston Chronicle '' is the citywide newspaper , `` Midtown Paper '' is a local newspaper .","The `` Houston Chronicle '' is the citywide newspaper , `` Midtown Paper '' is a local newspaper .",",",",","[(9, 10)]","[(9, 10)]",0
"In 2010 , Hatherley joined the band by Sam Lewis , playing lead guitar and replacing KT Tunstall .","In 2010 , Hatherley joined the band by Sam Lewis , playing lead guitar and replacing KT Tunstall .",Lewis,Lewis,"[(9, 10)]","[(9, 10)]",0
"The rivalry between Tanahashi and Tanahashi culminated in a Lumberjack Deathmatch on September 29 at Destruction , where Devitt was victorious .","The rivalry between Tanahashi and Tanahashi culminated in a Lumberjack Deathmatch on September 29 at Destruction , where Devitt was victorious .",on,on,"[(11, 12)]","[(11, 12)]",0
On the album charts the album reached number 1 in Norway and number 16 in Sweden .,On the album charts the album reached number 1 in Norway and number 16 in Sweden .,1,1,"[(8, 9)]","[(8, 9)]",0
"Several branches of the Castor River , a tributary of the South Nation River , flow through the township .","Several branches of the Castor River , a tributary of the South Nation River , flow through the township .",the,the,"[(10, 11)]","[(10, 11)]",0
She studied journalism for three years in New York City and holds an MA in mass media at a university in London .,She studied journalism for three years in New York City and holds an MA in mass media at a university in London .,holds,holds,"[(11, 12)]","[(11, 12)]",0
Sambora and lead singer Jon Bon Jovi formed the main - songwriting - unit of the band .,Sambora and lead singer Jon Bon Jovi formed the main - songwriting - unit of the band .,main,main,"[(9, 10)]","[(9, 10)]",0
"`` During all my school years , I was in a white environment , with racist people .","`` During all my school years , I was in a white environment , with racist people .",in,in,"[(9, 10)]","[(9, 10)]",0
"With its grey , furry leaves and masses of orange-red flowers , this is one of the most attractive eremophilas .","With its grey , furry leaves and masses of orange-red flowers , this is one of the most attractive eremophilas .",flowers,flowers,"[(10, 11)]","[(10, 11)]",0
"The nearest station is Nakamura Station , the terminus of the Tosa Kuroshio Railway Nakamura Line , in Shimanto .","The nearest station is Nakamura Station , the terminus of the Tosa Kuroshio Railway Nakamura Line , in Shimanto .",the,the,"[(10, 11)]","[(10, 11)]",0
He finished his career while playing for various teams in European leagues .,He finished his career while playing for various teams in European leagues .,for,for,"[(6, 7)]","[(6, 7)]",0
Jean – Garcia is the only daughter of Jennica Garcia and Jigo Garcia .,Jean – Garcia is the only daughter of Jennica Garcia and Jigo Garcia .,of,of,"[(7, 8)]","[(7, 8)]",0
"There is a small weekly street market on Saturdays , around where the covered daily market is .","There is a small weekly street market on Saturdays , around where the covered daily market is .",",",",","[(9, 10)]","[(9, 10)]",0
Pidoux appeared as cellist Pablo Larraín in `` Jackie '' by Pablo Casals .,Pidoux appeared as cellist Pablo Larraín in `` Jackie '' by Pablo Casals .,``,``,"[(7, 8)]","[(7, 8)]",0
"They moved later to Whitefish Bay , Wisconsin , and then to New York City .","They moved later to Whitefish Bay , Wisconsin , and then to New York City .",",",",","[(8, 9)]","[(8, 9)]",0
"In the evening , finally a bowl came with a small soup with a thin piece of bread .","In the evening , finally a bowl came with a small soup with a thin piece of bread .",a,a,"[(9, 10)]","[(9, 10)]",0
"Jack wrote his autobiography with Paul Conn , `` Eckerd : Finding the Right Prescription in 1987 .","Jack wrote his autobiography with Paul Conn , `` Eckerd : Finding the Right Prescription in 1987 .",Eckerd,Eckerd,"[(9, 10)]","[(9, 10)]",0
"In April 472 , Olybrius Ricimer appointed Emperor as opposed to Anthemius , who was besieged with his family in Rome .","In April 472 , Olybrius Ricimer appointed Emperor as opposed to Anthemius , who was besieged with his family in Rome .",Anthemius,Anthemius,"[(11, 12)]","[(11, 12)]",0
"His son Sir John Everard ( 1550 -- 1624 ) was an barrister , politician and judge . John 's son Richard was the first of the Everard baronets .","His son Sir John Everard ( 1550 -- 1624 ) was an barrister , politician and judge . John 's son Richard was the first of the Everard baronets .",and,and,"[(15, 16)]","[(15, 16)]",0
"On 30 August 1853 , Alexander Ramsey 's daughter , Eliza Ellen Champlin , Stephen Champlin , was married to a partner of John B. Cook in Minnesota .","On 30 August 1853 , Alexander Ramsey 's daughter , Eliza Ellen Champlin , Stephen Champlin , was married to a partner of John B. Cook in Minnesota .",Stephen,Stephen,"[(14, 15)]","[(14, 15)]",0
"Abel Aganbegyan ( born 1972 , Novosibirsk ) is a Russian economist , the president of Micex , son of the famous Soviet economist Ruben Aganbegyan .","Abel Aganbegyan ( born 1972 , Novosibirsk ) is a Russian economist , the president of Micex , son of the famous Soviet economist Ruben Aganbegyan .",the,the,"[(13, 14)]","[(13, 14)]",0
Another series was played between the Boston Red Sox and the Cincinnati Reds in Havana .,Another series was played between the Boston Red Sox and the Cincinnati Reds in Havana .,Sox,Sox,"[(8, 9)]","[(8, 9)]",0
"The station was opened on July 1 , 1903 on the line of the Donegal Railway Company from Glenties to Stranorlar .","The station was opened on July 1 , 1903 on the line of the Donegal Railway Company from Glenties to Stranorlar .",line,line,"[(11, 12)]","[(11, 12)]",0
Edward J. McKenna was a professional baseball player who played for the Washington National Association of Union in 1884 in 32 games .,Edward J. McKenna was a professional baseball player who played for the Washington National Association of Union in 1884 in 32 games .,the,the,"[(11, 12)]","[(11, 12)]",0
"Gandini was born on May 19 , 1906 in Parma to Ernesto Gandini and Diomira Di Centa of Venice .","Gandini was born on May 19 , 1906 in Parma to Ernesto Gandini and Diomira Di Centa of Venice .",to,to,"[(10, 11)]","[(10, 11)]",0
"`` Crawdaddy Simone '' is a cover of The Syndicats ( with Ray Fenwick ) of 1965 single , produced by Joe Meek .","`` Crawdaddy Simone '' is a cover of The Syndicats ( with Ray Fenwick ) of 1965 single , produced by Joe Meek .",Ray,Ray,"[(12, 13)]","[(12, 13)]",0
"Nationalist parties , however , said , together with other liberal groups , that they would boycott the July elections .","Nationalist parties , however , said , together with other liberal groups , that they would boycott the July elections .",liberal,liberal,"[(10, 11)]","[(10, 11)]",0
"Guruzeta 's father , Xabier , was also a footballer . A central defender , he mainly represented Real Sociedad during his career .","Guruzeta 's father , Xabier , was also a footballer . A central defender , he mainly represented Real Sociedad during his career .",central,central,"[(12, 13)]","[(12, 13)]",0
"Gonzalo advises his son , Paola always to forget .","Gonzalo advises his son , Paola always to forget .",Paola,Paola,"[(5, 6)]","[(5, 6)]",0
"In Confederate Ireland , the rebel Irish Catholics formed their own government -- Ireland with the intention of helping the Royalists in return for religious toleration and political autonomy .","In Confederate Ireland , the rebel Irish Catholics formed their own government -- Ireland with the intention of helping the Royalists in return for religious toleration and political autonomy .",the,the,"[(15, 16)]","[(15, 16)]",0
These dolls had their English or Spanish names covered by a sticker with the German name or sometimes nothing at all .,These dolls had their English or Spanish names covered by a sticker with the German name or sometimes nothing at all .,sticker,sticker,"[(11, 12)]","[(11, 12)]",0
"Although there are overwhelming social implications , there also seem to be regional financial patterns that perpetuate this trend .","Although there are overwhelming social implications , there also seem to be regional financial patterns that perpetuate this trend .",to,to,"[(10, 11)]","[(10, 11)]",0
"It contains remixes and acoustic versions of previously released singles , as well as the non-album B-page `` From a Desert to a Beach '' .","It contains remixes and acoustic versions of previously released singles , as well as the non-album B-page `` From a Desert to a Beach '' .",as,as,"[(13, 14)]","[(13, 14)]",0
"Subsequently , Air New Zealand certified the General Electric FANS-1 package , and United Airlines certified the Pratt & Whitney FANS-1 package .","Subsequently , Air New Zealand certified the General Electric FANS-1 package , and United Airlines certified the Pratt & Whitney FANS-1 package .",",",",","[(11, 12)]","[(11, 12)]",0
"In Lima , the musical was released on June 16 , 2012 starring Tati Alcántara , Denisse Dibós , and Marco Zunino in Teatro Municipal ( Perú ) .","In Lima , the musical was released on June 16 , 2012 starring Tati Alcántara , Denisse Dibós , and Marco Zunino in Teatro Municipal ( Perú ) .",Alcántara,Alcántara,"[(14, 15)]","[(14, 15)]",0
"After all , the global stiffness matrix is constructed by adding together the individual expanded element matrices .","After all , the global stiffness matrix is constructed by adding together the individual expanded element matrices .",by,by,"[(9, 10)]","[(9, 10)]",0
Paniqui is from Manila and is from the province capital Tarlac City .,Paniqui is from Manila and is from the province capital Tarlac City .,from,from,"[(6, 7)]","[(6, 7)]",0
"This temple is supposed to be the second of its kind in Thiruvananthapuram , the first being the famous temple in Kerala .","This temple is supposed to be the second of its kind in Thiruvananthapuram , the first being the famous temple in Kerala .",in,in,"[(11, 12)]","[(11, 12)]",0
"He was born in Rome in 1944 , his father was Lithuanian - Jewish , his French mother was the daughter of a Catholic father and an Austrian mother .","He was born in Rome in 1944 , his father was Lithuanian - Jewish , his French mother was the daughter of a Catholic father and an Austrian mother .",his,his,"[(15, 16)]","[(15, 16)]",0
"He lived near Croydon in Addiscombe until his death on July 11 , 1851 at the age of seventy years .","He lived near Croydon in Addiscombe until his death on July 11 , 1851 at the age of seventy years .",July,July,"[(10, 11)]","[(10, 11)]",0
"He was born on 23 January 1919 in Chiswick , London , Humphrey Lestocq Gilbert , and died on 29 January 1984 in London .","He was born on 23 January 1919 in Chiswick , London , Humphrey Lestocq Gilbert , and died on 29 January 1984 in London .",Humphrey,Humphrey,"[(12, 13)]","[(12, 13)]",0
The new matrix representation for the symmetrical bilinear form is now given by,The new matrix representation for the symmetrical bilinear form is now given by,symmetrical,symmetrical,"[(6, 7)]","[(6, 7)]",0
"The hyperbolic case is similar , given to the area of a disk of the intrinsic radius '' R `` in the ( constant curvature formula 83 ) hyperbolic level by","The hyperbolic case is similar , given to the area of a disk of the intrinsic radius '' R `` in the ( constant curvature formula 83 ) hyperbolic level by",intrinsic,intrinsic,"[(15, 16)]","[(15, 16)]",0
"EPZ is a Thana located under the Chittagong Division , Bangladesh in the Chittagong District .","EPZ is a Thana located under the Chittagong Division , Bangladesh in the Chittagong District .",Division,Division,"[(8, 9)]","[(8, 9)]",0
"If it was necessary , as I believe now , it was right and moral .","If it was necessary , as I believe now , it was right and moral .",now,now,"[(8, 9)]","[(8, 9)]",0
"Ayeza Khan ( born 15 January 1991 as Aiza Khan ) , also known as Kinza Khan , is a Pakistani television actress and model .","Ayeza Khan ( born 15 January 1991 as Aiza Khan ) , also known as Kinza Khan , is a Pakistani television actress and model .",known,known,"[(13, 14)]","[(13, 14)]",0
"In March 1904 , his brother was kidnapped for ransom in Mexico and taken to West Texas across the border .","In March 1904 , his brother was kidnapped for ransom in Mexico and taken to West Texas across the border .",in,in,"[(10, 11)]","[(10, 11)]",0
The field also included Olympian ( and in 1932 Olympic champion ) Paul Jessup of Cornell and future world record label John Anderson of Washington in 1928 .,The field also included Olympian ( and in 1932 Olympic champion ) Paul Jessup of Cornell and future world record label John Anderson of Washington in 1928 .,of,of,"[(14, 15)]","[(14, 15)]",0
"At the 2011 census , 86.4 % of inhabitants were Roma , 5.9 % Hungarians , 5.2 % Romanians and 0.7 % Germans .","At the 2011 census , 86.4 % of inhabitants were Roma , 5.9 % Hungarians , 5.2 % Romanians and 0.7 % Germans .",5.9,5.9,"[(12, 13)]","[(12, 13)]",0
He was drafted by the Chicago Cardinals and also played for the Washington Redskins and the Philadelphia Eagles .,He was drafted by the Chicago Cardinals and also played for the Washington Redskins and the Philadelphia Eagles .,played,played,"[(9, 10)]","[(9, 10)]",0
"It is clear that as in Scotland , the playing of current variation sets on the fiddle was extended in Northumberland at the time .","It is clear that as in Scotland , the playing of current variation sets on the fiddle was extended in Northumberland at the time .",variation,variation,"[(12, 13)]","[(12, 13)]",0
Cirja # 7 passed 2 TD Scramble and also achieved 2 TD one to Florin Oltean # 85 and one to Dan Crasnic # 93 .,Cirja # 7 passed 2 TD Scramble and also achieved 2 TD one to Florin Oltean # 85 and one to Dan Crasnic # 93 .,to,to,"[(13, 14)]","[(13, 14)]",0
"At the same time , Klaus meets Elena and Stefan and asks Elena to go with him so they can start the ritual that will break the curse .","At the same time , Klaus meets Elena and Stefan and asks Elena to go with him so they can start the ritual that will break the curse .",go,go,"[(14, 15)]","[(14, 15)]",0
Their recording of the song was produced and arranged by Richard Carpenter and performed by Ray Gerhardt .,Their recording of the song was produced and arranged by Richard Carpenter and performed by Ray Gerhardt .,by,by,"[(9, 10)]","[(9, 10)]",0
"In 2012 , approved Solanco School District Homestead residents received $ 79 .","In 2012 , approved Solanco School District Homestead residents received $ 79 .",District,District,"[(6, 7)]","[(6, 7)]",0
"She moved to Germany in 1989 and settled in Luxembourg two years later , where her husband , Tommy Danielsson , is her coach and training partner .","She moved to Germany in 1989 and settled in Luxembourg two years later , where her husband , Tommy Danielsson , is her coach and training partner .",where,where,"[(14, 15)]","[(14, 15)]",0
"Other car manufacturers which have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Škoda , and Volkswagen .","Other car manufacturers which have produced models with suicide doors include Citroën , Lancia , Opel , Panhard , Rover , Saab , Saturn , Škoda , and Volkswagen .",Opel,Opel,"[(15, 16)]","[(15, 16)]",0
The river Madicea is a tributary of the River Olt in Romania .,The river Madicea is a tributary of the River Olt in Romania .,of,of,"[(6, 7)]","[(6, 7)]",0
"In February 2014 , the opening ceremony for the monument for the victims of the Khojaly massacre was held in Uşak .","In February 2014 , the opening ceremony for the monument for the victims of the Khojaly massacre was held in Uşak .",the,the,"[(11, 12)]","[(11, 12)]",0
"They also display aspects of the physical discipline Parkour , while jumping over buildings and climbing from staircases .","They also display aspects of the physical discipline Parkour , while jumping over buildings and climbing from staircases .",",",",","[(9, 10)]","[(9, 10)]",0
The river Valea Negrenilor or Negreni River is a tributary of the river Amaradia .,The river Valea Negrenilor or Negreni River is a tributary of the river Amaradia .,is,is,"[(7, 8)]","[(7, 8)]",0
"In the 2007 Hong Kong Chief Executive election , Alan Leong from the Civic Party successfully entered the race against the incumbent Donald Tsang .","In the 2007 Hong Kong Chief Executive election , Alan Leong from the Civic Party successfully entered the race against the incumbent Donald Tsang .",the,the,"[(12, 13)]","[(12, 13)]",0
"Borjigin Vanchinbalyn Gularans ; ( 1820-1851 ) was a famous poet , and the elder brother of the Mongolian poet , novelist and translator Vanchinbalyn Injinash .","Borjigin Vanchinbalyn Gularans ; ( 1820-1851 ) was a famous poet , and the elder brother of the Mongolian poet , novelist and translator Vanchinbalyn Injinash .",the,the,"[(13, 14)]","[(13, 14)]",0
The Crişul Mic River is a tributary of the Doba River in Romania .,The Crişul Mic River is a tributary of the Doba River in Romania .,of,of,"[(7, 8)]","[(7, 8)]",0
"There are 22 species in the genera , 17 species have a sinistral shell and 5 species are dextral .","There are 22 species in the genera , 17 species have a sinistral shell and 5 species are dextral .",have,have,"[(10, 11)]","[(10, 11)]",0
After leaving the East India Company College Frere was appointed a writer in the Bombay ( now Mumbai ) civil service in 1834 .,After leaving the East India Company College Frere was appointed a writer in the Bombay ( now Mumbai ) civil service in 1834 .,in,in,"[(12, 13)]","[(12, 13)]",0
"Łąg Południowy is a PKP railway station in Łąg ( Pomeranian Voivodship ) , Poland .","Łąg Południowy is a PKP railway station in Łąg ( Pomeranian Voivodship ) , Poland .",Łąg,Łąg,"[(8, 9)]","[(8, 9)]",0
Lake Vernon is located in the Tiltill Valley in the northern sector of Yosemite National Park north of Hetch Hetchy Valley .,Lake Vernon is located in the Tiltill Valley in the northern sector of Yosemite National Park north of Hetch Hetchy Valley .,sector,sector,"[(11, 12)]","[(11, 12)]",0
"Hadady , born in Hungary ( Békésszentandrás ) , studied music at the Franz - Liszt - Music Academy in Budapest .","Hadady , born in Hungary ( Békésszentandrás ) , studied music at the Franz - Liszt - Music Academy in Budapest .",at,at,"[(11, 12)]","[(11, 12)]",0
"The areas south of the governorate were controlled by the Ottoman Empire , and the southern border was not defined .","The areas south of the governorate were controlled by the Ottoman Empire , and the southern border was not defined .",Ottoman,Ottoman,"[(10, 11)]","[(10, 11)]",0
"The Beatles ' biographer , Charles Sutcliffe , wrote that Philip Norman was a heavy drinker and physically cruel to his wife , which the young Sutcliffe had witnessed .","The Beatles ' biographer , Charles Sutcliffe , wrote that Philip Norman was a heavy drinker and physically cruel to his wife , which the young Sutcliffe had witnessed .",drinker,drinker,"[(15, 16)]","[(15, 16)]",0
"The Bhutanese language is national ( Dzongkha ) , one of 53 languages in the Tibetan language family .","The Bhutanese language is national ( Dzongkha ) , one of 53 languages in the Tibetan language family .",one,one,"[(9, 10)]","[(9, 10)]",0
The quantum mechanical polarization results microscopically from optical transitions between different states of the material system .,The quantum mechanical polarization results microscopically from optical transitions between different states of the material system .,transitions,transitions,"[(8, 9)]","[(8, 9)]",0
The series will be published in Japan by VIZ Media and in the United States by Shogakukan in English .,The series will be published in Japan by VIZ Media and in the United States by Shogakukan in English .,and,and,"[(10, 11)]","[(10, 11)]",0
Sissi units have fewer crew served weapons and more sniper rifles than regular infantry .,Sissi units have fewer crew served weapons and more sniper rifles than regular infantry .,and,and,"[(7, 8)]","[(7, 8)]",0
"Nikolay Davydenko won in the final 6 -- 4 , 5 -- 7 , 6 -- 4 against Marat Safin .","Nikolay Davydenko won in the final 6 -- 4 , 5 -- 7 , 6 -- 4 against Marat Safin .",5,5,"[(10, 11)]","[(10, 11)]",0
"His partner was Diego Milito , who was acquired like the midfielder Thiago Motta from Genoa .","His partner was Diego Milito , who was acquired like the midfielder Thiago Motta from Genoa .",acquired,acquired,"[(8, 9)]","[(8, 9)]",0
The town was founded in 1899 by George Dewey and named after Admiral Jacob A. Bartles .,The town was founded in 1899 by George Dewey and named after Admiral Jacob A. Bartles .,Dewey,Dewey,"[(8, 9)]","[(8, 9)]",0
"A historic figure is a famous person in history , such as Catherine the Great , Abraham Lincoln , Washington , or Napoleon .","A historic figure is a famous person in history , such as Catherine the Great , Abraham Lincoln , Washington , or Napoleon .",Catherine,Catherine,"[(12, 13)]","[(12, 13)]",0
"In January 2001 , he married Mayer Damian Smith .","In January 2001 , he married Mayer Damian Smith .",married,married,"[(5, 6)]","[(5, 6)]",0
"In 1736 , Mackay 's widow sold the islands to Charles Pinckney , the father of General Charles Cotesworth Pinckney .","In 1736 , Mackay 's widow sold the islands to Charles Pinckney , the father of General Charles Cotesworth Pinckney .",Charles,Charles,"[(10, 11)]","[(10, 11)]",0
"Make Me Rich , Make Me Famous","Make Me Rich , Make Me Famous",",",",","[(3, 4)]","[(3, 4)]",0
